PERTH AIRPORT PTY LTD,,,907849,0
PROGRESS 2021-1 TRUST,,,49466,0
PROGRESS 2023-2 TRUST,,,4506566,0.0001
PROGRESS 2024-2 TRUST,,,782737,0
PUMA SERIES 2023-1,,,106104,0
QIC FINANCE (TOWN CENTRE FUND) PTY LTD,,,7625157,0.0001
QPH FINANCE CO PTY LTD,,,2693664,0.0001
QUBE HOLDINGS LTD,,,5445127,0.0001
QUEENSLAND TREASURY CORP,,,304231979,0.0058
REGION RE LTD,,,1262568,0
REGISTRY FINANCE PTY LTD,,,7686558,0.0001
ROYAL BANK OF CANADA,,,3129645,0.0001
SCENTRE GROUP TRUST 1,,,7839807,0.0001
SERIES 2017-1 HARVEY TRUST,,,11201,0
SERIES 2018-1 REDS TRUST,,,49156,0
SERIES 2023-1 REDS TRUST,,,1086681,0
SERIES 2024-1 REDS TRUST,,,4054448,0.0001
SERIES 2024-2 WST TRUST,,,9206419,0.0002
SGSP (AUSTRALIA) ASSETS PTY LTD,,,2578170,0
SMHL SERIES SECURITISATION FUND 2019-1,,,148946,0
SOCIETE GENERALE SA,,,2585659,0
SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,,,99357788,0.0019
SPARK FINANCE LTD,,,3659705,0.0001
STOCKLAND TRUST MANAGEMENT LTD,,,3180211,0.0001
SUNCORP-METWAY LTD,,,14474022,0.0003
SYDNEY AIRPORT ALLIANCE,,,1661061935,0.0315
TASMANIAN PUBLIC FINANCE CORP,,,6778366,0.0001
TEACHERS MUTUAL BANK LTD,,,1193840,0
TELSTRA GROUP LTD,,,5109340,0.0001
TORONTO-DOMINION BANK,,,11418563,0.0002
TORRENS SERIES 2021-1 TRUST,,,9343,0
TRANSPOWER NEW ZEALAND LTD,,,2583094,0
TRANSURBAN QUEENSLAND FINANCE PTY LTD,,,141219,0
TREASURY CORPORATION OF VICTORIA,,,431986346,0.0082
TRITON BOND TRUST 2021-2,,,33245,0
TRITON BOND TRUST 2023-1,,,85610,0
TRITON BOND TRUST 2024-1,,,5794135,0.0001
TRITON BOND TRUST 2024-3,,,1256957,0
UBS AG (SYDNEY BRANCH),,,6374707,0.0001
UNITED ENERGY DISTRIBUTION PTY LTD,,,2859600,0.0001
VANTAGE TOWERS AG,,,471945003,0.0089
VERIZON COMMUNICATIONS INC,,,1344138,0
VICINITY CENTRES RE LTD,,,5600024,0.0001
VICINITY CENTRES TRUST,,,5669397,0.0001
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,,,1413195,0
WELLS FARGO & CO,,,3576811,0.0001
WESFARMERS LTD,,,2597620,0
WESTCONNEX FINANCE COMPANY PTY LTD,,,1843360,0
WESTERN AUSTRALIAN TREASURY CORP,,,16462479,0.0003
WESTPAC BANKING CORPORATION,,,79915101,0.0015
WOOLWORTHS GROUP LTD,,,7861297,0.0001
WSO FINANCE PTY LTD,,,5325648,0.0001
TOTAL,,,6428109569,0.1217
FIXED INCOME,,,,
Investment in non associated entities,,,,
Held directly or by associated entities or by PSTs,,,,
Externally Managed,,,,
NAME OF FUND MANAGER,,,VALUE (AUD),WEIGHTING (%)
COOLABAH CAPITAL INSTITUTIONAL INVESTMENTS PTY LIMITED,,,663267335,0.0126
FIRST SENTIER INVESTORS (AUSTRALIA) IM LIMITED,,,22801136,0.0004
MANULIFE INVESTMENT MANAGEMENT,,,29814863,0.0006
JAMIESON COOTE BONDS PTY LTD,,,464852276,0.0088
MACQUARIE INVESTMENT MANAGEMENT GLOBAL LIMITED,,,969919695,0.0184
MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,,,153669285,0.0029
PERENNIAL,,,3191293,0.0001
"PGIM, INC.",,,183980080,0.0035
TOTAL,,,2491495963,0.0472
LISTED EQUITY,,,,
Name/kind of investment item,SECURITY IDENTIFIER,UNITS HELD,VALUE (AUD),WEIGHTING (%)
CI FINANCIAL CORP C,CA1254911003        ,3215,111698,0
ZHUHAI COSMX BATTERY CO LTD A,CNE100005030        ,23652,84153,0
360 DIGITECH INC,US88557W1018        ,204461,12674144,0.0002
3I GROUP PLC,GB00B1YW4409        ,11711,844300,0
3M CO,US88579Y1010        ,19516,4069058,0.0001
4D MOLECULAR THERAPEUTICS INC,US35104E1001        ,67778,609744,0
4IMPRINT GROUP PLC,GB0006640972        ,972,95458,0
89BIO INC,US2825591033        ,199176,2515639,0
A P MOLLER MAERSK AS,DK0010244425        ,35,89483,0
A P MOLLER-MAERSK B,DK0010244508        ,51,135953,0
A2 MILK COMPANY LTD,NZATME0002S8        ,440326,2545082,0
AAC TECHNOLOGIES,KYG2953R1149        ,1185607,9244211,0.0002
AAON INC COM STK USD0.004,US0003602069        ,1704,323887,0
ABB INDIA LTD,INE117A01022        ,29740,3878058,0.0001
ABB LTD,CH0012221716        ,24984,2184552,0
ABBOTT LABS,US0028241000        ,269158,49171338,0.0009
ABBVIE INC COM,US00287Y1091        ,102968,29552360,0.0006
ABERCROMBIE FITCH CO CL-A,US0028962076        ,3546,856133,0
ABM INDUSTRIES INC,US0009571003        ,9151,756451,0
ABN AMRO BANK N V DR EACH REP SHS,NL0011540547        ,7945,197861,0
ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,US00080Q1058        ,10202,253082,0
ACCELLERON N ORD SHS,CH1169360919        ,25177,2095408,0
ACCENT GROUP LIMITED,AU000000AX19        ,274725,642856,0
ACCENTURE PLC,IE00B4BNMY34        ,63036,35815910,0.0007
ACCOR SA,FR0000120404        ,2210,173839,0
ACCTON TECHNOLOGY CORPORATION,TW0002345006        ,258702,9851791,0.0002
ACI WORLDWIDE INC,US0044981019        ,12091,1013734,0
ACKERMANS & VAN HAAREN NV,BE0003764785        ,1348,429543,0
ACOM CO LTD JPY,JP3108600002        ,55081,217253,0
ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ES0167050915        ,2628,212879,0
ACUITY BRANDS INC,US00508Y1029        ,1294,610622,0
ADDTECH AB SER B NPV,SE0014781795        ,3127,137667,0
ADECCO GROUP AG,CH0012138605        ,1919,76481,0
ADIDAS AG,DE000A1EWWW0        ,2313,916113,0
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016        ,1183,55979,0
ADMA BIOLOGICS INC,US0008991046        ,5170,143217,0
ADMIRAL GROUP PLC,GB00B02J6398        ,3132,167532,0
ADOBE INC COM,US00724F1012        ,70723,50794209,0.001
ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,AU0000004772        ,3983523,15535739,0.0003
ADT INC,US00090Q1031        ,6875,76729,0
ADVANCED MICRO DEVICES,US0079031078        ,373255,72818287,0.0014
ADVANTEST CORP,JP3122400009        ,12525,1183974,0
ADYEN NV,NL0012969182        ,8851,21272319,0.0004
AECOM,US00766T1007        ,1634,281987,0
AEGON ORD SHS,BMG0112X1056        ,16245,155409,0
AEON CO LTD,JP3388200002        ,7858,298391,0
AEON CREDIT SERVICE CO LTD,JP3131400008        ,26152,342942,0
AERCAP HOLDINGS NV,NL0000687663        ,59286,9163655,0.0002
AES CORP,US00130H1059        ,57792,1201290,0
AFLAC INC,US0010551028        ,19560,3267788,0.0001
AGC INC,JP3112000009        ,2200,104578,0
AGEAS NPV POST SPLIT,BE0974264930        ,1821,142799,0
AGILENT TECHNOLOGIES INC,US00846U1016        ,11868,2575032,0
AGNICO EAGLE MINES,CA0084741085        ,6035,762173,0
AGNICO-EAGLE MINES LTD,CA0084741085        ,2129,268898,0
AGRICULTURAL BANK OF CHINA,CNE100000Q43        ,31327,28855,0
AGS ORD SHS,JP3160460006        ,1920,17206,0
AIA GROUP LTD,HK0000069689        ,3983769,46633734,0.0009
AIB GROUP PLC,IE00BF0L3536        ,35694,318182,0
AIB GROUP PLC ORD,IE00BF0L3536        ,107061,972357,0
AIB GROUP PLC UNSPONSORED ADR,US00135T1043        ,101333,1777398,0
AIR CANADA VAR VTG SHS NPV,CA0089118776        ,1572,39287,0
AIR LIQUIDE,FR0000120073        ,6957,1825835,0
AIR PROD & CHEMS INC COM USD,US0091581068        ,7990,3742988,0.0001
AIR WATER INC,JP3160670000        ,4627,91139,0
AIRASIA BHD,MYL5099OO006        ,100500,36301,0
AIRBNB INC,US0090661010        ,16154,3428504,0.0001
AIRBUS SE,NL0000235190        ,191839,49659928,0.0009
AIRTAC INTERNATIONAL GROUP,KYG014081064        ,111798,4648497,0.0001
AISIN SEIKI CO LTD,JP3102000001        ,7795,142394,0
AJ BELL PLC,GB00BFZNLB60        ,22461,205587,0
AJINOMOTO CO INC JPY,JP3119600009        ,5595,370976,0
AKAMAI TECHNOLOGIES,US00971T1016        ,20207,3121628,0.0001
AKER BP ASA NOK1,NO0010345853        ,3601,113526,0
AKERO THERAPEUTICS INC,US00973Y1082        ,115662,5196991,0.0001
AKZO NOBEL NV,NL0013267909        ,2055,199203,0
ALAMOS GOLD INC,CA0115321089        ,24819,739183,0
ALARM.COM HOLDINGS INC,US0116421050        ,1780,174785,0
ALBERMARLE CORP,US0126531013        ,8362,1162556,0
ALBERTSONS COMPANIES INC,US0130911037        ,3960,125628,0
ALCOA CORPORATION CDI 1 1 FOREIGN EXEMPT DEFERRED SETTLEMENT,AU0000339426        ,293365,17402392,0.0003
ALCON AG,CH0432492467        ,6012,823989,0
ALFA FINANCIAL SOFTWARE HOLDINGS ORDINARY SHARES,GB00BDHXPG30        ,5225,22671,0
ALFA LAVAL AB,SE0000695876        ,4121,278668,0
ALFRESA HOLDINGS CORP,JP3126340003        ,4717,104901,0
ALGOMA STEEL GROUP INC,CA0156581070        ,2836,44840,0
ALIBABA GROUP HOLDING LTD,KYG017191142        ,1560887,26742160,0.0005
ALIBABA GROUP HOLDING LTD,US01609W1027        ,123252,16878780,0.0003
ALIGN TECHNOLOGY INC,US0162551016        ,8776,2955477,0.0001
ALIMENTATION COUCHE TARD INC,CA01626P1484        ,9115,816055,0
ALIOR BANK SA,PLALIOR00045        ,5226,175697,0
ALKAMI TECHNOLOGY INC,US01644J1088        ,1083,64130,0
ALLEGION PLC,IE00BFRT3W74        ,6072,1281664,0
ALLIANCE AVIATION SERVICES LIMITED,AU000000AQZ6        ,374594,1112544,0
ALLIANCE DATA SYSTEMS CORP,US0185811082        ,9975,983739,0
ALLIANZ SE-REG,DE0008404005        ,43139,21348645,0.0004
ALLIANZ SE UNSPONSORED ADR EA REP 1 10 ORD,US0188201000        ,3707,182836,0
ALLISON TRANSMISSION HOLDINGS INC,US01973R1014        ,14017,2446394,0
ALLSTATE CORP,US0200021014        ,13330,4150540,0.0001
ALLY FINANCIAL INC,US02005N1000        ,3877,225503,0
ALNYLAM PHARMACEUTICALS INC,US02043Q1076        ,12241,4652395,0.0001
ALPHA GROUP INTERNATIONAL ORD SHS,GB00BF1TM596        ,1216,57570,0
ALPHABET INC CLASS C EQUITY,US02079K1079        ,806389,248031555,0.0047
ALPHABET INC CLASS A EQUITY,US02079K3059        ,1076584,329156606,0.0062
ALS LIMITED,AU000000ALQ6        ,1291675,19478452,0.0004
ALSTOM SA,FR0010220475        ,4454,160599,0
ALUMINUM CORPORATION OF CHINA LTD,CNE1000001T8        ,278913,260383,0
AMADA CO LTD,JP3122800000        ,8031,126850,0
"AMADEUS IT GROUP, S.A.",ES0109067019        ,5420,618224,0
AMANO CORP,JP3124400007        ,16599,731126,0
AMAZON COM INC,US0231351067        ,1607114,569465902,0.0108
AMCOR PLC CDI,AU000000AMC4        ,543119,8130496,0.0002
AMCOR PLC COM USD,JE00BJ1F3079        ,91250,1386842,0
AMER SPORTS INC,KYG0260P1028        ,150321,6788296,0.0001
AMERCO COM,US0235865062        ,1132,117056,0
AMERICAN AIRLINES COM USD1,US02376R1023        ,2790,78556,0
AMERICAN EAGLE OUTFITTERS INC,US02553E1064        ,6394,172164,0
AMERICAN EXPRESS USD,US0258161092        ,40827,19570433,0.0004
AMERICAN FINANCIAL GROUP INC,US0259321042        ,880,194639,0
AMERICAN INTERNATIONAL GROUP,US0268747849        ,25230,2966520,0.0001
AMERIPRISE FINANCIAL INC,US03076C1062        ,3742,3217475,0.0001
AMERIS BANCORP,US03076K1088        ,1498,151362,0
AMETEK INC,US0311001004        ,9259,2695763,0.0001
AMGEN INC,US0311621009        ,54206,22818909,0.0004
AMICUS THERAPEUTICS INC,US03152W1099        ,99368,1511831,0
AMOTIV LIMITED ORDINARY FULLY PAID,AU0000340770        ,23283,246795,0
AMP LIMITED,AU000000AMP6        ,669270,1060793,0
AMPHENOL ORD SHS CLASS A,US0320951017        ,161129,18073772,0.0003
AMPLIFON SPA,IT0004056880        ,1419,58967,0
AMPOL LIMITED ORDINARY FULLY PAID,AU0000088338        ,1293209,36455554,0.0007
AMUNDI SA,FR0004125920        ,700,75125,0
ANA HOLDINGS INC,JP3429800000        ,1446,42578,0
ANALOG DEVICES INCORPORATED COM,US0326541051        ,135359,46448193,0.0009
ANDRITZ AG,AT0000730007        ,2057,168474,0
ANGLO AMERICAN PLC,GB00B1XZS820        ,15288,731067,0
ANGLOGOLD ASHANTI ORD SHS,GB00BRXH2664        ,2988,111376,0
ANHEUSER BUSCH INBEV SA NV,BE0974293251        ,213826,17254856,0.0003
ANHUI CONSTRUCTION ENGINEERING GROUP CORP LTD,CNE000001DV4        ,498204,526940,0
ANIMA HOLDINGS SPA,IT0004998065        ,139486,1546668,0
ANSELL LIMITED,AU000000ANN9        ,33489,1132583,0
ANSYS INC,US03662Q1058        ,10139,5524176,0.0001
ANTA SPORTS PRODUCTS LTD,KYG040111059        ,533543,8636256,0.0002
ANTOFAGASTA PLC,GB0000456144        ,597043,19202169,0.0004
ANTON OILFIELD SERVICES GROUP,KYG039991024        ,1475411,184061,0
ANZ GROUP HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000ANZ3        ,7392950,210994792,0.004
AO WORLD PLC,GB00BJTNFH41        ,15293,31987,0
AON PLC IE COM CL A,IE00BLP1HW54        ,7309,4239774,0.0001
APA CORPORATION COM USD0.625,US03743Q1085        ,33839,1261965,0
APAR INDUSTRY LTD ORD SHS,INE372A01015        ,5411,1053292,0
APELLIS PHARMACEUTICALS INC,US03753U1060        ,39145,2017462,0
APOGEE THERAPEUTICS INC,US03770N1019        ,16007,1171157,0
APOLLO GLOBAL MANAGEMENT INC,US03769M1062        ,47201,12590871,0.0002
APPEN LIMITED ORDINARY,AU000000APX3        ,25339,66895,0
APPFOLIO INC ORD,US03783C1009        ,764,304545,0
APPLE INC,US0378331005        ,2488609,1006536959,0.0191
APPLIED MATERIALS US,US0382221051        ,166170,43647249,0.0008
APPLOVIN CORP,US03831W1080        ,13210,6909014,0.0001
APTIV PLC NEW ORD USD0.01,JE00BTDN8H13        ,16392,1601240,0
ARAMIS GROUP SAS,FR0014003U94        ,10594,143865,0
ARB CORPORATION LIMITED ORDINARY FULLY PAID,AU000000ARB5        ,159485,6476678,0.0001
ARC RESOURCES COM NPV,CA00208D4084        ,7104,207971,0
ARCADIS NV,NL0006237562        ,1846,181583,0
ARCADIUM LITHIUM CDI DEFEERED,AU0000305724        ,1954964,16030708,0.0003
ARCELLX INC,US03940C1009        ,24064,2980667,0.0001
ARCELORMITTAL NPV POST STK SPLIT,LU1598757687        ,5643,211697,0
ARCH CAPITAL GROUPCOM,BMG0450A1053        ,16096,2400839,0
ARCHER DANIELS MIDLAND CO COM STK NPV,US0394831020        ,23340,1904485,0
ARCPLUS GROUP PLCA,CNE000000784        ,202768,413672,0
ARCUTIS BIOTHERAPEUTICS INC COM,US03969K1088        ,453361,10199977,0.0002
ARDELYX INC,US0396971071        ,301867,2471879,0
ARES MANAGEMNT COR COM,US03990B1017        ,33691,9633093,0.0002
ARGAN INC,US04010E1091        ,1302,288231,0
ARGENX NV,US04016X1019        ,12523,12439274,0.0002
ARGENX SE,NL0010832176        ,8964,8995232,0.0002
ARISTA NETWORKS INC,US0404132054        ,163829,29246609,0.0006
ARISTOCRAT LEISURE LTD,AU000000ALL7        ,4142995,283215126,0.0054
ARITZIA INC,CA04045U1021        ,2046,122782,0
ARKEMA,FR0010313833        ,684,84133,0
ARMSTRONG WORLD INDUSTRIES INC,US04247X1028        ,4662,1064240,0
ARTHUR J GALLAGHER CO,US3635761097        ,8443,3870589,0.0001
ARTIENCE CO LTD,JP3606600009        ,3612,117125,0
ARYT INDUSTRIES ORD SHS,IL0005870147        ,26039,104448,0
ASAHI GROUP HOLDINGS LTD,JP3116000005        ,17413,296527,0
ASAHI INTECC CO LTD NPV,JP3110650003        ,4359,115389,0
ASAHI KASEI CORPORATION,JP3111200006        ,14270,160217,0
ASANA INC,US04342Y1047        ,29523,966533,0
ASCENDIS PHARMA AS,US04351P1012        ,32445,7214206,0.0001
ASGN INCORPORATED COM USD0.01,US00191U1025        ,1057,142294,0
ASHMORE GROUP PLC,GB00B132NW22        ,14277,46179,0
ASHOT ASHKELON INDUSTRIES ORD SHS,IL0003120172        ,4649,105450,0
ASHTEAD GROUP PLC,GB0000536739        ,5262,528434,0
ASICS ORD SHS,JP3118000003        ,542011,17323284,0.0003
ASM INTERNATIONAL NV,NL0000334118        ,668,624025,0
ASML HOLDING NV,NL0010273215        ,73228,83120741,0.0016
ASML HOLDING NV EUR 0.09 NY REG 2012 POST DEPOSITORY RECEIPT,USN070592100        ,26502,29665988,0.0006
ASMPT LTD,KYG0535Q1331        ,557386,8680314,0.0002
ASPEN TECHNOLOGY,US29109X1063        ,314,126727,0
ASR NEDERLAND NV,NL0011872643        ,6732,515437,0
ASSA ABLOY AB,SE0007100581        ,12059,576062,0
ASSECO POLAND SA,PLSOFTB00016        ,724,27243,0
ASSOCIATED BRITISH FOODS PLC,GB0006731235        ,4017,166003,0
ASSURANT INC,US04621X1081        ,3810,1312233,0
ASSURED GUARANTY LTD,BMG0585R1060        ,1263,183629,0
ASTELLAS PHARMA NPV,JP3942400007        ,21751,343008,0
ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,GB00BN7CG237        ,10552,22754,0
ASTRAL POLY TECHNIK LTD,INE006I01046        ,57356,1787789,0
ASTRAZENECA PLC,GB0009895292        ,430449,91144883,0.0017
ASUSTEK COMPUTER INC,TW0002357001        ,1516,46001,0
ASX LIMITED,AU000000ASX7        ,1329956,86553530,0.0016
ATLAS COPCO AB,SE0017486889        ,32318,797647,0
ATLAS COPCO AB SER`B`NPV (POST SPLIT),SE0017486897        ,18780,410261,0
ATLASSIAN CL A ORD,US0494681010        ,98271,38629064,0.0007
