PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR THE DIVERSIFIED MY SUPER OPTION  - ASSETS - 2024-12-31,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%)
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$60,771",0.00%
CASH,-,HONGKONG & SHANGHAI BANKING CORP. LTD.,-,-,-,USD,-,-,,,"$56,638",0.00%
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$53,908",0.00%
CASH,-,UBS AG,-,-,-,JPY,-,-,,,"$40,500",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$36,402",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$31,049",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$22,048",0.00%
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$21,808",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,"$9,219",0.00%
CASH,-,"CITIGROUP, INC.",-,-,-,CAD,-,-,,,"$8,112",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$7,597",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$6,517",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$3,991",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$3,156",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$3,006",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$2,876",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$1,046",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,$496,0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,$464,0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,$309,0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,$80,0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,$6,0.00%
CASH,-,"CITIGROUP, INC.",-,-,-,GBP,-,-,,,-$14,0.00%
CASH,-,"CITIGROUP, INC.",-,-,-,JPY,-,-,,,"-$10,337",0.00%
CASH,-,JPMORGAN CHASE & CO,-,-,-,CAD,-,-,,,"-$59,791",0.00%
CASH,-,"CITIGROUP, INC.",-,-,-,EUR,-,-,,,"-$332,689",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"-$489,836",0.00%
CASH,-,THE BANK OF NEW YORK MELLON,-,-,-,USD,-,-,,,"-$1,157,704",-0.01%
SUB TOTAL CASH,,,,,,,,,,,"$276,993,923",2.65%
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$34,308,473",0.33%
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$28,204,023",0.27%
FIXED INCOME,INTERNALLY,-,GOLDMAN SACHS BANK USA,-,-,-,-,-,,,"$11,777,123",0.11%
FIXED INCOME,INTERNALLY,-,P&N BANK LTD.,-,-,-,-,-,,,"$10,531,667",0.10%
FIXED INCOME,INTERNALLY,-,HERITAGE & PEOPLE'S CHOICE LTD.,-,-,-,-,-,,,"$7,877,373",0.08%
FIXED INCOME,INTERNALLY,-,BEYOND BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$4,456,296",0.04%
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$3,519,677",0.03%
FIXED INCOME,INTERNALLY,-,RACQ BANK,-,-,-,-,-,,,"$1,676,036",0.02%
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$838,018",0.01%
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$103,188,686",0.99%
FIXED INCOME,EXTERNALLY,-,-,IFM INVESTORS PTY LTD,-,-,-,-,,,"$324,782,617",3.11%
FIXED INCOME,EXTERNALLY,-,-,BLACKSTONE CREDIT SYSTEMATIC STRATEGIES LLC,-,-,-,-,,,"$187,709,998",1.80%
FIXED INCOME,EXTERNALLY,-,-,BRIDGEPOINT ADVISERS LIMITED,-,-,-,-,,,"$130,292,492",1.25%
FIXED INCOME,EXTERNALLY,-,-,J.P. MORGAN ASSET MANAGEMENT AUSTRALIA LIMITED,-,-,-,-,,,"$118,541,944",1.14%
FIXED INCOME,EXTERNALLY,-,-,BLUE OWL CAPITAL INC,-,-,-,-,,,"$87,821,659",0.84%
FIXED INCOME,EXTERNALLY,-,-,"BRANDYWINE GLOBAL INVESTMENT MANAGEMENT, LLC",-,-,-,-,,,"$80,656,724",0.77%
FIXED INCOME,EXTERNALLY,-,-,ALCEON GROUP PTY LIMITED,-,-,-,-,,,"$72,767,307",0.70%
FIXED INCOME,EXTERNALLY,-,-,MADISON REALTY CAPITAL,-,-,-,-,,,"$65,860,950",0.63%
FIXED INCOME,EXTERNALLY,-,-,KENNEDY LEWIS INVESTMENT MANAGEMENT LLC,-,-,-,-,,,"$53,021,197",0.51%
FIXED INCOME,EXTERNALLY,-,-,MONROE CAPITAL,-,-,-,-,,,"$15,468,617",0.15%
FIXED INCOME,EXTERNALLY,-,-,CHALLENGER INVESTMENT SOLUTIONS MANAGEMENT PTY LTD,-,-,-,-,,,"$8,656,188",0.08%
FIXED INCOME,EXTERNALLY,-,-,SOCIAL VENTURES AUSTRALIA LIMITED,-,-,-,-,,,"$1,104,512",0.01%
FIXED INCOME,EXTERNALLY,-,-,MACQUARIE INVESTMENT MANAGEMENT LTD,-,-,-,-,,,"$738,000",0.01%
FIXED INCOME,EXTERNALLY,-,-,STATE STREET BANK AND TRUST COMPANY,-,-,-,-,,,"$76,462",0.00%
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$1,147,498,667",11.00%
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"1,380,991","$211,636,910",2.03%
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"4,451,394","$176,052,619",1.69%
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"415,725","$147,308,157",1.41%
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"446,807","$125,811,778",1.21%
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"311,030","$125,798,344",1.21%
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"531,084","$115,188,947",1.10%
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"167,880","$114,288,868",1.10%
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"2,891,304","$107,267,364",1.03%
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"2,758,267","$89,147,206",0.85%
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"3,087,554","$88,118,806",0.84%
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"375,109","$83,142,856",0.80%
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"792,550","$56,691,075",0.54%
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"178,629","$54,614,525",0.52%
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"52,769","$49,901,742",0.48%
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"2,361,488","$45,340,546",0.43%
LISTED EQUITY,-,-,-,-,RIO TINTO LTD.,-,RIO AU,-,,"381,048","$44,757,700",0.43%
LISTED EQUITY,-,-,-,-,ARISTOCRAT LEISURE LTD.,-,ALL AU,-,,"645,820","$44,148,228",0.42%
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"10,787,103","$43,256,285",0.41%
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"61,788","$40,300,676",0.39%
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"1,755,222","$33,156,118",0.32%
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"85,091","$31,862,108",0.31%
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"108,542","$31,464,208",0.30%
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"99,525","$30,612,206",0.29%
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"180,695","$30,457,952",0.29%
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"1,550,581","$29,476,557",0.28%
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"1,534,837","$28,010,759",0.27%
LISTED EQUITY,-,-,-,-,JAMES HARDIE INDUSTRIES PLC,-,JHX AU,-,,"545,580","$27,317,130",0.26%
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"221,526","$26,817,808",0.26%
LISTED EQUITY,-,-,-,-,TRANSURBAN GROUP,-,TCL AU,-,,"1,953,116","$26,152,214",0.25%
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"850,887","$25,943,551",0.25%
LISTED EQUITY,-,-,-,-,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,-,2330 TT,-,,"484,416","$25,654,440",0.25%
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"48,957","$24,989,499",0.24%
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"59,547","$23,054,297",0.22%
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"594,243","$21,850,321",0.21%
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"1,359,554","$20,991,522",0.20%
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"1,090,782","$20,986,639",0.20%
LISTED EQUITY,-,-,-,-,ANSELL LTD.,-,ANN AU,-,,"618,885","$20,930,702",0.20%
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"24,315","$20,678,891",0.20%
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"603,535","$20,490,032",0.20%
LISTED EQUITY,-,-,-,-,"BLOCK, INC.",-,SQ2 AU,-,,"144,072","$20,311,340",0.19%
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,"11,615","$19,886,785",0.19%
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"15,340","$19,126,512",0.18%
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"1,922,473","$17,244,581",0.17%
LISTED EQUITY,-,-,-,-,FISHER & PAYKEL HEALTHCARE CORP. LTD.,-,FPH AU,-,,"490,918","$17,157,605",0.16%
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,"11,042","$16,341,812",0.16%
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"521,701","$16,334,494",0.16%
LISTED EQUITY,-,-,-,-,"BERKSHIRE HATHAWAY, INC.",-,BRKB US,-,,"22,040","$16,135,922",0.15%
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"19,273","$15,747,045",0.15%
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"57,867","$15,668,807",0.15%
LISTED EQUITY,-,-,-,-,WORLEY LTD.,-,WOR AU,-,,"1,103,172","$15,113,446",0.14%
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"62,834","$14,676,775",0.14%
LISTED EQUITY,-,-,-,-,SIMS LTD.,-,SGM AU,-,,"1,211,960","$14,398,085",0.14%
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"1,673,489","$14,157,712",0.14%
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"9,674","$13,927,280",0.13%
LISTED EQUITY,-,-,-,-,SOUTH32 LTD.,-,S32 AU,-,,"4,090,831","$13,908,823",0.13%
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"508,858","$13,744,246",0.13%
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"93,882","$13,699,717",0.13%
LISTED EQUITY,-,-,-,-,ATLAS ARTERIA LTD.,-,ALX AU,-,,"2,859,456","$13,582,415",0.13%
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"187,547","$13,312,921",0.13%
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"11,719","$13,302,488",0.13%
LISTED EQUITY,-,-,-,-,SEEK LTD.,-,SEK AU,-,,"570,201","$12,869,427",0.12%
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"54,845","$12,795,976",0.12%
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"47,142","$12,688,071",0.12%
LISTED EQUITY,-,-,-,-,ALCOA CORP.,-,AAI AU,-,,"213,276","$12,651,498",0.12%
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"23,427","$12,650,457",0.12%
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"50,237","$12,565,272",0.12%
LISTED EQUITY,-,-,-,-,ORICA LTD.,-,ORI AU,-,,"756,848","$12,548,550",0.12%
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"49,956","$12,394,545",0.12%
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"76,736","$12,329,439",0.12%
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"19,510","$12,257,882",0.12%
LISTED EQUITY,-,-,-,-,NEWMONT CORP.,-,NEM AU,-,,"202,715","$12,069,669",0.12%
LISTED EQUITY,-,-,-,-,QUBE HOLDINGS LTD.,-,QUB AU,-,,"3,003,832","$11,925,210",0.11%
LISTED EQUITY,-,-,-,-,SPOTIFY TECHNOLOGY SA,-,SPOT US,-,,"16,373","$11,831,521",0.11%
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"323,135","$11,642,564",0.11%
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"28,829","$11,615,445",0.11%
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"81,336","$11,386,219",0.11%
LISTED EQUITY,-,-,-,-,TREASURY WINE ESTATES LTD.,-,TWE AU,-,,"999,801","$11,327,741",0.11%
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,"1,407","$11,290,175",0.11%
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"38,984","$11,188,682",0.11%
LISTED EQUITY,-,-,-,-,CLEANAWAY WASTE MANAGEMENT LTD.,-,CWY AU,-,,"4,146,390","$10,987,935",0.11%
LISTED EQUITY,-,-,-,-,AMP LTD.,-,AMP AU,-,,"6,852,249","$10,860,814",0.10%
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"14,918","$10,713,824",0.10%
LISTED EQUITY,-,-,-,-,HUB24 LTD.,-,HUB AU,-,,"153,753","$10,701,215",0.10%
LISTED EQUITY,-,-,-,-,BREVILLE GROUP LTD.,-,BRG AU,-,,"299,368","$10,591,644",0.10%
LISTED EQUITY,-,-,-,-,AUCKLAND INTERNATIONAL AIRPORT LTD.,-,AIA AU,-,,"1,347,432","$10,456,068",0.10%
LISTED EQUITY,-,-,-,-,TENCENT HOLDINGS LTD.,-,700 HK,-,,"119,065","$10,323,323",0.10%
LISTED EQUITY,-,-,-,-,ORIGIN ENERGY LTD.,-,ORG AU,-,,"946,237","$10,313,991",0.10%
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"65,142","$10,297,692",0.10%
LISTED EQUITY,-,-,-,-,HDFC BANK LTD.,-,HDFCB IN,-,,"306,469","$10,249,882",0.10%
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"25,358","$10,021,602",0.10%
LISTED EQUITY,-,-,-,-,"UBER TECHNOLOGIES, INC.",-,UBER US,-,,"100,029","$9,745,262",0.09%
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,"12,006","$9,657,394",0.09%
LISTED EQUITY,-,-,-,-,FLETCHER BUILDING LTD.,-,FBU AU,-,,"3,779,597","$9,637,971",0.09%
LISTED EQUITY,-,-,-,-,ORORA LTD.,-,ORA AU,-,,"3,853,858","$9,480,491",0.09%
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"20,348","$9,265,292",0.09%
LISTED EQUITY,-,-,-,-,"AUTOMATIC DATA PROCESSING, INC.",-,ADP US,-,,"19,589","$9,261,449",0.09%
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"608,059","$9,102,650",0.09%
LISTED EQUITY,-,-,-,-,TESCO PLC,-,TSCO LN,-,,"1,221,560","$9,100,470",0.09%
LISTED EQUITY,-,-,-,-,HERMES INTERNATIONAL SCA,-,RMS FP,-,,"2,334","$9,065,034",0.09%
LISTED EQUITY,-,-,-,-,"DOORDASH, INC.",-,DASH US,-,,"33,234","$9,004,467",0.09%
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"95,524","$8,853,175",0.08%
LISTED EQUITY,-,-,-,-,SHELL PLC,-,SHEL LN,-,,"176,734","$8,851,543",0.08%
LISTED EQUITY,-,-,-,-,TOTALENERGIES SE,-,TTE FP,-,,"97,826","$8,731,819",0.08%
LISTED EQUITY,-,-,-,-,AUB GROUP LTD.,-,AUB AU,-,,"274,681","$8,570,050",0.08%
LISTED EQUITY,-,-,-,-,SANOFI SA,-,SAN FP,-,,"54,531","$8,549,146",0.08%
LISTED EQUITY,-,-,-,-,CAPRICORN METALS LTD.,-,CMM AU,-,,"1,360,400","$8,543,308",0.08%
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"41,372","$8,400,613",0.08%
LISTED EQUITY,-,-,-,-,A2 MILK CO. LTD.,-,A2M AU,-,,"1,450,347","$8,383,000",0.08%
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"17,438","$8,359,055",0.08%
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,"7,712","$8,196,625",0.08%
LISTED EQUITY,-,-,-,-,GOLD ROAD RESOURCES LTD.,-,GOR AU,-,,"3,953,094","$8,103,843",0.08%
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"124,390","$8,095,325",0.08%
LISTED EQUITY,-,-,-,-,"FISERV, INC.",-,FI US,-,,"23,648","$7,845,621",0.08%
LISTED EQUITY,-,-,-,-,MEDTRONIC PLC,-,MDT US,-,,"60,636","$7,823,118",0.07%
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"13,730","$7,801,248",0.07%
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"39,915","$7,788,427",0.07%
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"28,840","$7,768,805",0.07%
LISTED EQUITY,-,-,-,-,COLGATE-PALMOLIVE CO.,-,CL US,-,,"52,595","$7,722,501",0.07%
LISTED EQUITY,-,-,-,-,DIAGEO PLC,-,DGE LN,-,,"150,288","$7,714,025",0.07%
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"57,745","$7,706,040",0.07%
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"76,379","$7,680,439",0.07%
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"26,641","$7,672,958",0.07%
LISTED EQUITY,-,-,-,-,SANDFIRE RESOURCES LTD.,-,SFR AU,-,,"825,570","$7,661,293",0.07%
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"2,018,207","$7,649,004",0.07%
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,"14,034","$7,522,853",0.07%
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"12,599","$7,516,244",0.07%
LISTED EQUITY,-,-,-,-,DSV AS,-,DSV DC,-,,"21,914","$7,514,379",0.07%
LISTED EQUITY,-,-,-,-,DOWNER EDI LTD.,-,DOW AU,-,,"1,412,529","$7,415,779",0.07%
LISTED EQUITY,-,-,-,-,INCITEC PIVOT LTD.,-,IPL AU,-,,"2,513,565","$7,364,746",0.07%
LISTED EQUITY,-,-,-,-,ABB LTD.,-,ABBN SW,-,,"83,744","$7,323,669",0.07%
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"197,078","$7,247,779",0.07%
LISTED EQUITY,-,-,-,-,"KEYSIGHT TECHNOLOGIES, INC.",-,KEYS US,-,,"27,531","$7,142,326",0.07%
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"1,442,641","$7,126,646",0.07%
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"38,815","$7,090,915",0.07%
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"109,648","$7,081,962",0.07%
LISTED EQUITY,-,-,-,-,BANK CENTRAL ASIA TBK. PT,-,BBCA IJ,-,,"7,278,889","$7,066,902",0.07%
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"26,890","$7,062,994",0.07%
LISTED EQUITY,-,-,-,-,NETWEALTH GROUP LTD.,-,NWL AU,-,,"245,098","$7,046,567",0.07%
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"164,183","$7,035,096",0.07%
LISTED EQUITY,-,-,-,-,"LIGHT & WONDER, INC.",-,LNW AU,-,,"51,152","$7,015,972",0.07%
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"32,531","$6,888,282",0.07%
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,"7,405","$6,849,271",0.07%
LISTED EQUITY,-,-,-,-,"MOTOROLA SOLUTIONS, INC.",-,MSI US,-,,"9,147","$6,828,408",0.07%
LISTED EQUITY,-,-,-,-,RAMSAY HEALTH CARE LTD.,-,RHC AU,-,,"197,299","$6,814,711",0.07%
LISTED EQUITY,-,-,-,-,MONCLER SPA,-,MONC IM,-,,"79,141","$6,747,628",0.06%
LISTED EQUITY,-,-,-,-,PILBARA MINERALS LTD.,-,PLS AU,-,,"3,052,152","$6,684,213",0.06%
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"58,394","$6,638,693",0.06%
