Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,COP,,,,,,,,13379.33319,1.9e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CZK,,,,,,,,67856.88269,9.8e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,DKK,,,,,,,,1384666.916,1.998e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,EUR,,,,,,,,16968171.56,0.00024484
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,EUR,,,,,,,,-3006649.441,-4.338e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Credit Suisse Group AG,EUR,,,,,,,,0.021826,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,EUR,,,,,,,,3353027.439,4.838e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,EUR,,,,,,,,30026947.98,0.00043327
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Group Ltd,EUR,,,,,,,,4.838243,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,EUR,,,,,,,,-76161.45925,-1.1e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Morgan Stanley,EUR,,,,,,,,-11077.55432,-1.6e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Royal Bank of Canada,EUR,,,,,,,,1584.238187,2e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Warburg Dillon,EUR,,,,,,,,112242.6452,1.62e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,GBP,,,,,,,,1410696.517,2.036e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,GBP,,,,,,,,-997976.47,-1.44e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,GBP,,,,,,,,1135282.189,1.638e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,GBP,,,,,,,,10172646.79,0.00014678
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Group Ltd,GBP,,,,,,,,-2.012992,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,GBP,,,,,,,,1863.593041,3e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Royal Bank of Canada,GBP,,,,,,,,5326.6747,8e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Warburg Dillon,GBP,,,,,,,,56301.72152,8.1e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,HKD,,,,,,,,0.072754,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,HKD,,,,,,,,1374153.826,1.983e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,HUF,,,,,,,,38511.59587,5.6e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,IDR,,,,,,,,341189.6805,4.92e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,ILS,,,,,,,,-335.001652,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,ILS,,,,,,,,259624.8533,3.75e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,CSI Bank,INR,,,,,,,,0.00183,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,INR,,,,,,,,12790.85395,1.8e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,JPY,,,,,,,,1424783.986,2.056e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,JPY,,,,,,,,-1746469.825,-2.52e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,JPY,,,,,,,,-384305.3256,-5.55e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,JPY,,,,,,,,5487200.293,7.918e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,JPY,,,,,,,,5563.507399,8e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Warburg Dillon,JPY,,,,,,,,27503.13014,4e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,KRW,,,,,,,,5853291.062,8.446e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,KWD,,,,,,,,5172.00175,7e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,MXN,,,,,,,,-0.018303,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,MXN,,,,,,,,74653.46896,1.08e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,MYR,,,,,,,,228914.6496,3.3e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,CSI Bank,NOK,,,,,,,,-1.004835,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,NOK,,,,,,,,531620.3292,7.67e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,NZD,,,,,,,,-215203.9681,-3.11e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,NZD,,,,,,,,18.799566,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,NZD,,,,,,,,3125170.324,4.509e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,PEN,,,,,,,,14210.61995,2.1e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,PHP,,,,,,,,7309.003858,1.1e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,PLN,,,,,,,,102994.8199,1.49e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,QAR,,,,,,,,95773.39344,1.38e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,RON,,,,,,,,140448.1062,2.03e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,RUB,,,,,,,,1.210493,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,SEK,,,,,,,,-2091.610357,-3e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,SEK,,,,,,,,0.014551,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,SEK,,,,,,,,805889.0337,1.163e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,SGD,,,,,,,,227491.7028,3.28e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,CSI Bank,SGD,,,,,,,,-416.257869,-1e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,SGD,,,,,,,,1825728.951,2.634e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,THB,,,,,,,,-340.745133,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,THB,,,,,,,,11982.62156,1.7e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,TRY,,,,,,,,51033.56127,7.4e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,TWD,,,,,,,,1662503.374,2.399e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,USD,,,,,,,,8946202.902,0.00012909
31/12/2024,HESTA,Balanced Growth,Cash,1,BNP Paribas SA,USD,,,,,,,,29422477.78,0.00042454
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,USD,,,,,,,,-33436269.64,-0.00048246
31/12/2024,HESTA,Balanced Growth,Cash,1,Credit Suisse Group AG,USD,,,,,,,,-325.149956,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,USD,,,,,,,,15169680.03,0.00021889
31/12/2024,HESTA,Balanced Growth,Cash,1,HSBC Holdings PLC,USD,,,,,,,,-3764058.739,-5.431e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,USD,,,,,,,,175339549.4,0.00253002
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Group Ltd,USD,,,,,,,,2308.30123,3e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,USD,,,,,,,,599427.6225,8.65e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Royal Bank of Canada,USD,,,,,,,,1519331.708,2.192e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,SSB Bank,USD,,,,,,,,13080.57541,1.9e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Warburg Dillon,USD,,,,,,,,742366.8124,1.071e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Westpac Banking Corp,USD,,,,,,,,-489691.8563,-7.07e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,ZA1,,,,,,,,0.007921,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,ZAR,,,,,,,,133457.9544,1.93e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Sub Total,,,,,,,,,7092888076.0,0.10234495
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,BlackRock Inc,,,,,,,,,995863461.2,0.01436955
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Challenger Limited,,,,,,,,,113603295.3,0.00163921
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,GoldenTree AM,,,,,,,,,175706429.9,0.00253531
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,IFM Investors Pty Ltd,,,,,,,,,190125292.2,0.00274336
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,JPMorgan Chase & Co,,,,,,,,,2216764724.0,0.03198622
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Macquarie Asset Management,,,,,,,,,89096947.26,0.0012856
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Generate Capital,,,,,,,,,1840626.55,2.656e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Oaktree Capital Management LP,,,,,,,,,1331084833.0,0.01920654
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,PIMCO Australia Pty Ltd,,,,,,,,,1972994283.0,0.0284688
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Schroders PLC,,,,,,,,,38135922.65,0.00055027
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Wellington,,,,,,,,,304892769.8,0.00439937
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Westbourne Credit Management Limited,,,,,,,,,1040776.403,1.502e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,AGI Finance Pty Ltd,,,,,,,,,2175015.391,3.138e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Airservices Australia,,,,,,,,,12038168.34,0.0001737
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,AusNet Services Holdings Pty Ltd,,,,,,,,,3597535.875,5.191e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australia Government Bond,,,,,,,,,878179119.1,0.01267145
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australian Capital Territory,,,,,,,,,1234058.427,1.781e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australian Catholic University Ltd,,,,,,,,,22733602.44,0.00032803
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australia & New Zealand Banking Group Ltd,,,,,,,,,9403696.438,0.00013569
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australian Gas Networks Ltd,,,,,,,,,5001901.994,7.217e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australian Postal Corp,,,,,,,,,17572104.54,0.00025355
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Australian Rail Track Corp Ltd,,,,,,,,,2170028.046,3.131e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Barclays PLC,,,,,,,,,1705067.142,2.46e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Bendigo & Adelaide Bank Ltd,,,,,,,,,5164177.245,7.452e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Brisbane Airport Corp Pty Ltd,,,,,,,,,18315423.73,0.00026428
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Charter Hall LWR Pty Ltd,,,,,,,,,18267380.81,0.00026358
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Chorus Ltd,,,,,,,,,5387773.73,7.774e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,CIP Funding Pty Ltd,,,,,,,,,3833764.105,5.532e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Commonwealth Bank of Australia,,,,,,,,,52370014.41,0.00075566
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,ConnectEast Finance Pty Ltd,,,,,,,,,6248654.466,9.016e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Cooperatieve Rabobank UA,,,,,,,,,7160810.715,0.00010333
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Cooperatieve Rabobank UA/Australia,,,,,,,,,20148121.2,0.00029072
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,ElectraNet Pty Ltd,,,,,,,,,6075578.429,8.767e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,ETSA Utilities Finance Pty Ltd,,,,,,,,,18590716.66,0.00026825
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Export Finance & Insurance Corp,,,,,,,,,22667366.42,0.00032707
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,GAIF Bond Issuer Pty Ltd,,,,,,,,,1506400.603,2.174e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,GTA Finance Co Pty Ltd,,,,,,,,,2562966.184,3.698e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Housing Australia,,,,,,,,,10282620.84,0.00014837
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,ING Bank Australia Ltd,,,,,,,,,18845993.76,0.00027193
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Lloyds Banking Group PLC,,,,,,,,,4317551.626,6.23e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Lonsdale Finance Pty Ltd,,,,,,,,,48714250.88,0.00070291
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Macquarie Bank Ltd,,,,,,,,,28711282.89,0.00041428
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Mirvac Group Finance Ltd,,,,,,,,,1707016.681,2.463e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Monash University,,,,,,,,,4975292.308,7.179e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,National Australia Bank Ltd,,,,,,,,,52799927.13,0.00076186
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,NBN Co Ltd,,,,,,,,,60299360.07,0.00087007
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Network Finance Co Pty Ltd,,,,,,,,,8803780.789,0.00012703
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,New South Wales Treasury Corp,,,,,,,,,200641881.9,0.00289511
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,New Terminal Financing Co Pty Ltd,,,,,,,,,3925503.495,5.664e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,New Zealand Local Government Funding Agency Bond,,,,,,,,,6029916.826,8.701e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Northern Territory Treasury Corp,,,,,,,,,10842422.6,0.00015645
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,NSW Electricity Networks Finance Pty Ltd,,,,,,,,,3583083.855,5.17e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,QPH Finance Co Pty Ltd,,,,,,,,,5737831.75,8.279e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Qube Treasury Pty Ltd,,,,,,,,,8942791.423,0.00012904
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Queensland Treasury Corp,,,,,,,,,126948306.7,0.00183177
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Region Retail Trust,,,,,,,,,15510025.04,0.0002238
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Registry Finance Pty Ltd,,,,,,,,,34840429.83,0.00050272
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Scentre Group Trust 1,,,,,,,,,12073336.33,0.00017421
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,South Australian Government Financing Authority,,,,,,,,,31887323.01,0.00046011
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Tasmanian Public Finance Corp,,,,,,,,,34257776.42,0.00049431
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Telstra Group Ltd,,,,,,,,,17413967.4,0.00025127
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Transpower New Zealand Ltd,,,,,,,,,12430988.57,0.00017937
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Transurban Queensland Finance Pty Ltd,,,,,,,,,8846746.857,0.00012765
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Treasury Corp of Victoria,,,,,,,,,210114615.7,0.00303179
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,UBS AG/Australia,,,,,,,,,3195442.971,4.611e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,United Energy Distribution Pty Ltd,,,,,,,,,1301709.139,1.878e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,United Overseas Bank Ltd/Sydney,,,,,,,,,1375730.607,1.985e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,University Of Melbourne,,,,,,,,,2563373.892,3.699e-05
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,University of Sydney/The,,,,,,,,,18276868.96,0.00026372
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,University of Technology Sydney,,,,,,,,,18137755.77,0.00026171
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,University of Wollongong/The,,,,,,,,,8292718.365,0.00011966
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Western Australian Treasury Corp,,,,,,,,,52565320.11,0.00075848
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Westpac Banking Corp,,,,,,,,,20683204.91,0.00029844
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Woolworths Group Ltd,,,,,,,,,28651982.31,0.00041343
31/12/2024,HESTA,Balanced Growth,Fixed Income,1,Sub Total,,,,,,,,,7431149362.0,0.1072258
31/12/2024,HESTA,Balanced Growth,Fixed Income,0,Sub Total,,,,,,,,,2282637578.0,0.03293671
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,360 Security Technology Inc,,CNE100002RZ2,CN,Technology,Software - Infrastructure,24711.37752,,,56593.04573,8.2e-07
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,37 Interactive Entertainment Network Technology Group Co Ltd,,CNE1000010N2,CN,Communication Services,Electronic Gaming & Multimedia,7884.880327,,,27287.11593,3.9e-07
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,3i Group PLC,,GB00B1YW4409,GB,Financial Services,Asset Management,58097.74184,,,4188359.591,6.043e-05
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,3M Co,,US88579Y1010,US,Industrials,Conglomerates,116604.3427,,,24311482.84,0.0003508
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,a2 Milk Co Ltd/The,,NZATME0002S8,NZ,Consumer Defensive,Packaged Foods,3037412.715,,,17556245.49,0.00025332
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,AAC Technologies Holdings Inc,,KYG2953R1149,KY,Technology,Communication Equipment,42675.89867,,,332744.9574,4.8e-06
31/12/2024,HESTA,Balanced Growth,Listed Equity,1,ABB India Ltd,,INE117A01022,IN,Industrials,Specialty Industrial Machinery,3148.262011,,,410535.5528,5.92e-06
