Name/Kind of Investment Item,Stock ID,ISIN,ticker,exchCode,micCode,name,marketSector,compositeFIGI,HomeCountry,mapped_country,mapped_priority,Primary,PrimaryListingCountry,PrimaryTicker
CUMMINS INDIA LTD,INE298A01020,INE298A01020,KKC,IB,,CUMMINS INDIA LTD,Equity,BBG000CV9JV2,IN,IN,1.0,True,IN,KKC
CVC CAPITAL PARTNERS PLC,JE00BRX98089,JE00BRX98089,CVC,AV,,CVC CAPITAL PARTNERS PLC,Equity,BBG01MR8L9G3,JE,AT,1.0,True,AT,CVC
CVS HEALTH CORP,US1266501006,US1266501006,CVS,UA,,CVS HEALTH CORP,Equity,BBG000BGRY34,US,US,1.0,True,US,CVS
CYBERAGENT INC,JP3311400000,JP3311400000,4751,JT,,CYBERAGENT INC,Equity,BBG000BQZ1C5,JP,JP,1.0,True,JP,4751
CYBERARK SOFTWARE LTD,IL0011334468,IL0011334468,CYB,GF,,CYBERARK SOFTWARE LTD/ISRAEL,Equity,BBG0077K55N0,IL,DE,1.0,True,DE,CYB
CYTOKINETICS INC,US23282W6057,US23282W6057,CYTK,UA,,CYTOKINETICS INC,Equity,BBG000F0R4N9,US,US,1.0,True,US,CYTK
D LINK CORP,TW0002332004,TW0002332004,2332,TT (Taiwan Stock Exchange),,D-LINK CORP,Equity,BBG000BG0108,TW,,,True,TW,2332
DAMPSKIBSSELSKABET NORDEN A/S,DK0060083210,DK0060083210,DNORD,DC,,D/S NORDEN,Equity,BBG000BF6RX1,DK,DK,1.0,True,DK,DNORD
DAESANG CORPORATION,KR7001680008,KR7001680008,001680,KP,,DAESANG CORPORATION,Equity,BBG000BD2GW5,KR,KR,1.0,True,KR,001680
DAESANG HOLDINGS CO LTD,KR7084690007,KR7084690007,084690,KP,,DAESANG HOLDINGS CO LTD,Equity,BBG000BCL355,KR,KR,1.0,True,KR,084690
DAI ICHI LIFE HOLD NPV,JP3476480003,JP3476480003,8750,JT,,DAI-ICHI LIFE HOLDINGS INC,Equity,BBG000HRVPM7,JP,JP,1.0,True,JP,8750
DAI NIPPON PRINTING CO LTD,JP3493800001,JP3493800001,7912,JT,,DAI NIPPON PRINTING CO LTD,Equity,BBG000BMJDM5,JP,JP,1.0,True,JP,7912
DAIFUKU CO LTD NPV,JP3497400006,JP3497400006,6383,JT,,DAIFUKU CO LTD,Equity,BBG000BLQSJ0,JP,JP,1.0,True,JP,6383
DAIHEN CORP,JP3497800007,JP3497800007,6622,JT,,DAIHEN CORP,Equity,BBG000BLWK64,JP,JP,1.0,True,JP,6622
DAIICHI SANKYO COMPANY LIMITED,JP3475350009,JP3475350009,4568,JT,,DAIICHI SANKYO CO LTD,Equity,BBG000BWPLT1,JP,JP,1.0,True,JP,4568
DAIKIN INDUSTRIES,JP3481800005,JP3481800005,6367,JT,,DAIKIN INDUSTRIES LTD,Equity,BBG000BLNXT1,JP,JP,1.0,True,JP,6367
DAIMLER AG,US2338252073,US2338252073,MBGYY,PQ,,MERCEDES-BENZ GROUP-UNSP ADR,Equity,BBG00FQ9Y929,US,US,1.0,True,US,MBGYY
DAIMLER TRUCK HOLDING AG,DE000DTR0CK8,DE000DTR0CK8,DTG,GF,,DAIMLER TRUCK HOLDING AG,Equity,BBG012SQ7SX1,DE,DE,1.0,True,DE,DTG
DAISHIN SECURITIES CO LTD,KR7003541000,KR7003541000,003545,KP,,DAISHIN SECURITIES CO LTD-PF,Equity,BBG000BJ6JF1,KR,KR,1.0,True,KR,003545
DAIWA SECURITIES GROUP INC.,JP3502200003,JP3502200003,8601,JT,,DAIWA SECURITIES GROUP INC,Equity,BBG000BGW979,JP,JP,1.0,True,JP,8601
DANAHER CORP,US2358511028,US2358511028,DHR,UA,,DANAHER CORP,Equity,BBG000BH3JF8,US,US,1.0,True,US,DHR
DANIELI & C DI RISP EUR1,IT0000076486,IT0000076486,DANR,IM,,DANIELI & CO-RSP,Equity,BBG000BBBBH7,IT,IT,1.0,True,IT,DANR
DANONE,FR0000120644,FR0000120644,BN,FP,,DANONE,Equity,BBG000BBY0W9,FR,FR,1.0,True,FR,BN
DARDEN RESTAURANTS INC,US2371941053,US2371941053,DRI,UA,,DARDEN RESTAURANTS INC,Equity,BBG000BBNYF6,US,US,1.0,True,US,DRI
DARFON ELECTRONICS CORP,TW0008163007,TW0008163007,8163TWD,XS,,DARFON ELECTRONICS CORP,Equity,BBG00KVVH1Y4,TW,DE,1.0,True,DE,8163TWD
DASHANG ORD SHS A,CNE000000DW4,CNE000000DW4,600694,CG,,DASHANG CO LTD -A,Equity,BBG000BG33T0,CN,CN,1.0,True,CN,600694
DASSAULT AVIATION EUR0.80 (POST SUBDIVISION),FR0014004L86,FR0014004L86,AM,FP,,DASSAULT AVIATION SA,Equity,BBG000BBR4K2,FR,FR,1.0,True,FR,AM
DASSAULT SYSTEMES SE,FR0014003TT8,FR0014003TT8,DSY,FP,,DASSAULT SYSTEMES SE,Equity,BBG000GVXBH4,FR,FR,1.0,True,FR,DSY
DATA3 LIMITED,AU000000DTL4,AU000000DTL4,DTL,AT,,DATA#3 LTD,Equity,BBG000BBPHM3,AU,AU,1.0,True,AU,DTL
DATADOG INC,US23804L1035,US23804L1035,DDOG,UA,,DATADOG INC - CLASS A,Equity,BBG003NJHZT9,US,US,1.0,True,US,DDOG
DATANG INTL POWER GEN CO-H,CNE1000002Z3,CNE1000002Z3,DAT,LN,,DATANG INTL POWER GEN CO-H,Equity,BBG000C04KV2,CN,GB,1.0,True,GB,DAT
DAVE AND BUSTERS ENTERTAINMENT INC,US2383371091,US2383371091,PLAY,UA,,DAVE & BUSTER'S ENTERTAINMEN,Equity,BBG001WWJTK5,US,US,1.0,True,US,PLAY
DAVIDE CAMPARI MIL,NL0015435975,NL0015435975,CPR,X9,,DAVIDE CAMPARI-MILANO NV,Equity,BBG00YJ7G555,NL,NL,1.0,True,NL,CPR
DAVITA INC,US23918K1088,US23918K1088,DVA,UA,,DAVITA INC,Equity,BBG000MQ1SN9,US,US,1.0,True,US,DVA
DAY ONE BIOPHARMAC COM,US23954D1090,US23954D1090,DAWN,UA,,DAY ONE BIOPHARMACEUTICALS I,Equity,BBG00V1KSN04,US,US,1.0,True,US,DAWN
DAYFORCE INC,US15677J1088,US15677J1088,DAY,UA,,DAYFORCE INC,Equity,BBG005D7PF34,US,US,1.0,True,US,DAY
DBS GROUP HOLDINGS LTD,SG1L01001701,SG1L01001701,DBS,SP,,DBS GROUP HOLDINGS LTD,Equity,BBG000BFDGH5,SG,SG,1.0,True,SG,DBS
DCC PLC,IE0002424939,IE0002424939,DCCL,PO,,DCC PLC,Equity,BBG008GZJTL0,IE,IE,1.0,True,IE,DCCL
DE GREY MINING LTD,AU000000DEG6,AU000000DEG6,DEGEUR,XB,,DE GREY MINING LTD,Equity,BBG00JPC3ND6,AU,GB,1.0,True,GB,DEGEUR
DECKERS OUTDOOR ORD SHS A,US2435371073,US2435371073,DECK,UA,,DECKERS OUTDOOR CORP,Equity,BBG000BKXYX5,US,US,1.0,True,US,DECK
DEERE & CO,US2441991054,US2441991054,DE,UA,,DEERE & CO,Equity,BBG000BH1NH9,US,US,1.0,True,US,DE
DEHUA TB NEW DECORATION MATERIAL CO LTD,CNE000001LT1,CNE000001LT1,002043,CS,,DEHUA TB NEW DECORATION-A,Equity,BBG000DSQG90,CN,CN,1.0,True,CN,002043
DELEK GROUP LTD,IL0010841281,IL0010841281,DLEKG,IT,,DELEK GROUP LTD,Equity,BBG000BQG9D8,IL,IL,1.0,True,IL,DLEKG
DELHIVERY LTD,INE148O01028,INE148O01028,DELHIVER,IB,,DELHIVERY LTD,Equity,BBG00736JCG3,IN,IN,1.0,True,IN,DELHIVER
DELIVEROO PLC,GB00BNC5T391,GB00BNC5T391,ROO,LN,,DELIVEROO PLC,Equity,BBG00ZS0K0V4,GB,GB,1.0,True,GB,ROO
DELIVERY HERO SE,DE000A2E4K43,DE000A2E4K43,DHER,GF,,DELIVERY HERO SE,Equity,BBG0028W9747,DE,DE,1.0,True,DE,DHER
DELL TECHNOLOGIES INC,US24703L2025,US24703L2025,DELL,UA,,DELL TECHNOLOGIES -C,Equity,BBG00DW3SZS1,US,US,1.0,True,US,DELL
DELTA AIR LINES INC,US2473617023,US2473617023,DAL,UA,,DELTA AIR LINES INC,Equity,BBG000R7Z112,US,US,1.0,True,US,DAL
DELTA ELECTRONICS INC,TW0002308004,TW0002308004,2308TWD,X2,,DELTA ELECTRONICS INC,Equity,BBG00JSDZ607,TW,NL,1.0,True,NL,2308TWD
DELTA GALIL INDUSTRIES LTD,IL0006270347,IL0006270347,DELG,IT,,DELTA GALIL LTD,Equity,BBG000BJWB41,IL,IL,1.0,True,IL,DELG
DELTA ISREAL BRAND ORD SHS,IL0011736993,IL0011736993,DLTI,IT,,DELTA ISRAEL BRANDS LTD,Equity,BBG00ZKVFH43,IL,IL,1.0,True,IL,DLTI
DEMANT A S,DK0060738599,DK0060738599,DEMANT,DC,,DEMANT A/S,Equity,BBG000J93ZS8,DK,DK,1.0,True,DK,DEMANT
DEN DANSKE BANK AS DKK,DK0010274414,DK0010274414,DANSKE,DC,,DANSKE BANK A/S,Equity,BBG000BR5SD6,DK,DK,1.0,True,DK,DANSKE
DENSO CORP NPV,JP3551500006,JP3551500006,6902,JT,,DENSO CORP,Equity,BBG000BGN9N1,JP,JP,1.0,True,JP,6902
DENTSU GROUP INC,JP3551520004,JP3551520004,4324,JT,,DENTSU GROUP INC,Equity,BBG000BT53Q3,JP,JP,1.0,True,JP,4324
DEPPON LOGISTICS ORD SHS A,CNE100002SZ0,CNE100002SZ0,603056,CG,,DEPPON LOGISTICS CO LTD-A,Equity,BBG009KB52R4,CN,CN,1.0,True,CN,603056
DESCARTES SYSTEMS GROUP INC,CA2499061083,CA2499061083,DSG,CT,,DESCARTES SYSTEMS GRP/THE,Equity,BBG000BYLFM1,CA,CA,1.0,True,CA,DSG
DETERRA ROYALTIES LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000107484,AU0000107484,DRR,AT,,DETERRA ROYALTIES LTD,Equity,BBG00RTWXWG4,AU,AU,1.0,True,AU,DRR
DEUTSCHE BANK AG (REG),DE0005140008,DE0005140008,DBK,GF,,DEUTSCHE BANK AG-REGISTERED,Equity,BBG000BBZTH2,DE,DE,1.0,True,DE,DBK
DEUTSCHE BOERSE AG,DE0005810055,DE0005810055,DB1,GF,,DEUTSCHE BOERSE AG,Equity,BBG000D54HT0,DE,DE,1.0,True,DE,DB1
DEUTSCHE LUFTHANSA AG,DE0008232125,DE0008232125,LHA,GF,,DEUTSCHE LUFTHANSA-REG,Equity,BBG000BC6K90,DE,DE,1.0,True,DE,LHA
DEUTSCHE POST AG,DE0005552004,DE0005552004,DHL,GF,,DHL GROUP,Equity,BBG000LW3MC0,DE,DE,1.0,True,DE,DHL
DEVELOP GLOBAL LTD,AU0000179707,AU0000179707,DVP,AT,,DEVELOP GLOBAL LTD,Equity,BBG000L4Y9Q2,AU,AU,1.0,True,AU,DVP
DEVON ENERGY CORPORATION,US25179M1036,US25179M1036,DVN,UA,,DEVON ENERGY CORP,Equity,BBG000BBVJZ8,US,US,1.0,True,US,DVN
DEXCOM INC,US2521311074,US2521311074,DXCM,UA,,DEXCOM INC,Equity,BBG000QTF8K1,US,US,1.0,True,US,DXCM
DGB FINANCIAL GROUP,KR7139130009,KR7139130009,139130,KP,,IM FINANCIAL GROUP CO LTD,Equity,BBG00185NFV4,KR,KR,1.0,True,KR,139130
DIAGEO ORD,GB0002374006,GB0002374006,DGE,LN,,DIAGEO PLC,Equity,BBG000BS6936,GB,GB,1.0,True,GB,DGE
DIAMONDBACK ENERGY INC,US25278X1090,US25278X1090,FANG,UA,,DIAMONDBACK ENERGY INC,Equity,BBG002PHSYX9,US,US,1.0,True,US,FANG
DIASORIN SPA,IT0003492391,IT0003492391,DIA,IM,,DIASORIN SPA,Equity,BBG000DSFWB4,IT,IT,1.0,True,IT,DIA
DICK'S SPORTING GOODS INC,US2533931026,US2533931026,DKS,UA,,DICK'S SPORTING GOODS INC,Equity,BBG000F6ZWH2,US,US,1.0,True,US,DKS
DIETEREN GROUP,BE0974259880,BE0974259880,DIE,BB,,D'IETEREN GROUP,Equity,BBG000BRPP68,BE,BE,1.0,True,BE,DIE
DIGITALOCEAN HLDGS COM,US25402D1028,US25402D1028,DOCN,UA,,DIGITALOCEAN HOLDINGS INC,Equity,BBG00ZGF6SS3,US,US,1.0,True,US,DOCN
DIP CORPORATION,JP3548640006,JP3548640006,2379,JT,,DIP CORP,Equity,BBG000C6TH94,JP,JP,1.0,True,JP,2379
DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18,GB00BY9D0Y18,DLGL,IX,,DIRECT LINE INSURANCE GROUP,Equity,BBG003H6LH19,GB,GB,1.0,True,GB,DLGL
DISCO CORPORATION NPV,JP3548600000,JP3548600000,6146,JT,,DISCO CORP,Equity,BBG000BKFJQ6,JP,JP,1.0,True,JP,6146
DISCOVER FINANCIAL SERVICES,US2547091080,US2547091080,DFS,AV,,DISCOVER FINANCIAL SERVICES,Equity,BBG011RJD2C3,US,AT,1.0,True,AT,DFS
DISCOVERIE GROUP PLC,GB0000055888,GB0000055888,ACL,PZ,,DISCOVERIE GROUP PLC,Equity,BBG000FNP1G5,GB,GB,1.0,True,GB,ACL
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION SA,ES0126775032,ES0126775032,,,,,,,ES,,,True,ES,
DIVERSIFIED ENERGY CO PLC,GB00BQHP5P93,GB00BQHP5P93,DEC,LN,,DIVERSIFIED ENERGY CO PLC,Equity,BBG009J3L5R9,GB,GB,1.0,True,GB,DEC
DIVIS LABORATORIES LTD,INE361B01024,INE361B01024,DIVI,IB,,DIVI'S LABORATORIES LTD,Equity,BBG000DJVX88,IN,IN,1.0,True,IN,DIVI
DIXON TECHNOLOGIES INR2.00 (POST SUBD),INE935N01020,INE935N01020,DIXON,IB,,DIXON TECHNOLOGIES INDIA LTD,Equity,BBG000BKD1Y8,IN,IN,1.0,True,IN,DIXON
DNB BANK ASA,NO0010161896,NO0010161896,DNB,NO,,DNB BANK ASA,Equity,BBG011M0SYB4,NO,NO,1.0,True,NO,DNB
DOCEBO ORD SHS,CA25609L1058,CA25609L1058,DCBO,CT,,DOCEBO INC,Equity,BBG00Q2B1C98,CA,CA,1.0,True,CA,DCBO
DOCUSIGN INC,US2561631068,US2561631068,DOCU,UA,,DOCUSIGN INC,Equity,BBG000N7KJX8,US,US,1.0,True,US,DOCU
DOF GROUP ORD SHS,NO0012851874,NO0012851874,DOFG,NO,,DOF GROUP ASA,Equity,BBG01H2PWZ00,NO,NO,1.0,True,NO,DOFG
DOLLAR GENERAL,US2566771059,US2566771059,DG,UA,,DOLLAR GENERAL CORP,Equity,BBG000NV1KK7,US,US,1.0,True,US,DG
DOLLAR TREE INC,US2567461080,US2567461080,DLTR,UA,,DOLLAR TREE INC,Equity,BBG000BSC0K9,US,US,1.0,True,US,DLTR
DOLLARAMA INC,CA25675T1075,CA25675T1075,DOL,CT,,DOLLARAMA INC,Equity,BBG000P87B57,CA,CA,1.0,True,CA,DOL
DOMAIN HOLDINGS AUSTRALIA LIMITED ORDINARY FULLY PAID,AU000000DHG9,AU000000DHG9,DHG,AH,,DOMAIN HOLDINGS AUSTRALIA LT,Equity,BBG00HTD4B94,AU,AU,1.0,True,AU,DHG
DOMINO`S PIZZA GRP ORD GBP0.00520833,GB00BYN59130,GB00BYN59130,DOM,LN,,DOMINO'S PIZZA GROUP PLC,Equity,BBG000BMQRH2,GB,GB,1.0,True,GB,DOM
DOMINOS PIZZA ENTERPRISES LTD,AU000000DMP0,AU000000DMP0,DMP,AT,,DOMINO'S PIZZA ENTERPRISES L,Equity,BBG000BLRB60,AU,AU,1.0,True,AU,DMP
DOMINOS PIZZA INC,US25754A2015,US25754A2015,DPZ,UA,,DOMINO'S PIZZA INC,Equity,BBG000P458P3,US,US,1.0,True,US,DPZ
DONALDSON COMPANY INC,US2576511099,US2576511099,DCI,UA,,DONALDSON CO INC,Equity,BBG000BGZP70,US,US,1.0,True,US,DCI
DOORDASH INC,US25809K1051,US25809K1051,DASH,UA,,DOORDASH INC - A,Equity,BBG005D7QCJ3,US,US,1.0,True,US,DASH
DORMA KABA HOLDING AG,CH0011795959,CH0011795959,DOKA,SE,,DORMAKABA HOLDING AG,Equity,BBG000FTHJW4,CH,CH,1.0,True,CH,DOKA
DORMAN PRODUCTS INC,US2582781009,US2582781009,DORM,UA,,DORMAN PRODUCTS INC,Equity,BBG000BM22F5,US,US,1.0,True,US,DORM
DOUYU INTERNATIONAL HOLDADR,US25985W2044,US25985W2044,DOYU,UA,,DOUYU INTERNATIONAL HOLD-ADR,Equity,BBG00NZ6JPK9,US,US,1.0,True,US,DOYU
DOVER CORPORATION COM,US2600031080,US2600031080,DOV,UA,,DOVER CORP,Equity,BBG000BHB3M6,US,US,1.0,True,US,DOV
DOW INC,US2605571031,US2605571031,DOW,UA,,DOW INC,Equity,BBG00BN96922,US,US,1.0,True,US,DOW
DOWA HOLDINGS CO LTD,JP3638600001,JP3638600001,5714,JT,,DOWA HOLDINGS CO LTD,Equity,BBG000BL9X08,JP,JP,1.0,True,JP,5714
DOWLAIS GROUP PLC,GB00BMWRZ071,GB00BMWRZ071,DWL,LN,,DOWLAIS GROUP PLC,Equity,BBG01G5ZZWP4,GB,GB,1.0,True,GB,DWL
DOWNER EDI LIMITED,AU000000DOW2,AU000000DOW2,DOW,AT,,DOWNER EDI LTD,Equity,BBG000CPKJJ6,AU,AU,1.0,True,AU,DOW
DOXIMITY INC,US26622P1075,US26622P1075,DOCS,UA,,DOXIMITY INC-CLASS A,Equity,BBG0026ZJQX7,US,US,1.0,True,US,DOCS
DR HORTON INC,US23331A1097,US23331A1097,DHI,UA,,DR HORTON INC,Equity,BBG000DQTXY6,US,US,1.0,True,US,DHI
DR ING HC F PORSCHE AG,DE000PAG9113,DE000PAG9113,P911,GF,,DR ING HC F PORSCHE AG,Equity,BBG019QZNV90,DE,DE,1.0,True,DE,P911
DR MARTENS PLC,GB00BL6NGV24,GB00BL6NGV24,DOCS,LN,,DR. MARTENS PLC,Equity,BBG00YTZSCD5,GB,GB,1.0,True,GB,DOCS
DRAFTKINGS HOLDINGS INC,US26142V1052,US26142V1052,DKNG,UA,,DRAFTKINGS INC-CL A,Equity,BBG0134WCM78,US,US,1.0,True,US,DKNG
DRAX GROUP PLC,GB00B1VNSX38,GB00B1VNSX38,DRX,LN,,DRAX GROUP PLC,Equity,BBG000Q7BSQ3,GB,GB,1.0,True,GB,DRX
DROPBOX INC,US26210C1045,US26210C1045,DBX,UA,,DROPBOX INC-CLASS A,Equity,BBG0018SLDN0,US,US,1.0,True,US,DBX
DSM FIRMENICH AG EUR0.01,CH1216478797,CH1216478797,DSFI,AV,,DSM-FIRMENICH AG,Equity,BBG01HF071H6,CH,AT,1.0,True,AT,DSFI
DSV A/S,DK0060079531,DK0060079531,DSV,DC,,DSV A/S,Equity,BBG000BSNX70,DK,DK,1.0,True,DK,DSV
DUFRY GROUP,CH0023405456,CH0023405456,AVOL,SE,,AVOLTA AG,Equity,BBG000HHBQD9,CH,CH,1.0,True,CH,AVOL
DUN AND BRADSTREET HOLDINGS INC,US26484T1060,US26484T1060,DNB,UA,,DUN & BRADSTREET HOLDINGS IN,Equity,BBG00VCZX9Z6,US,US,1.0,True,US,DNB
DUNDEE PRECIOUS METALS INC,CA2652692096,CA2652692096,DPM,CT,,DUNDEE PRECIOUS METALS INC,Equity,BBG000G9HTM6,CA,CA,1.0,True,CA,DPM
DUNELM GROUP PLC,GB00B1CKQ739,GB00B1CKQ739,DNLM,LN,,DUNELM GROUP PLC,Equity,BBG000N9X114,GB,GB,1.0,True,GB,DNLM
DUPONT DE NEMOURS INC,US26614N1028,US26614N1028,DD,UA,,DUPONT DE NEMOURS INC,Equity,BBG00BN961G4,US,US,1.0,True,US,DD
DYNATRACE INC,US2681501092,US2681501092,DT,UA,,DYNATRACE INC,Equity,BBG00PNN7C40,US,US,1.0,True,US,DT
DYNE THERAPEUTICS,US26818M1080,US26818M1080,DYN,UA,,DYNE THERAPEUTICS INC,Equity,BBG00NSGPJD0,US,US,1.0,True,US,DYN
E INK HOLDINGS INC,TW0008069006,TW0008069006,8069TWD,X2,,E INK HOLDINGS INC,Equity,BBG00K8JB4L1,TW,NL,1.0,True,NL,8069TWD
E-MART CO LTD,KR7139480008,KR7139480008,139480,KP,,E-MART INC,Equity,BBG001J399N6,KR,KR,1.0,True,KR,139480
EAGERS AUTOMOTIVE LIMITED ORDINARY FULLY PAID,AU000000APE3,AU000000APE3,APE,AT,,EAGERS AUTOMOTIVE LTD,Equity,BBG000BT8TB9,AU,AU,1.0,True,AU,APE
EAST JAPAN RAILWAY JPY,JP3783600004,JP3783600004,9020,JT,,EAST JAPAN RAILWAY CO,Equity,BBG000BJ2DR5,JP,JP,1.0,True,JP,9020
EAST WEST BANCORP INC,US27579R1041,US27579R1041,EWBC,UA,,EAST WEST BANCORP INC,Equity,BBG000CR20B1,US,US,1.0,True,US,EWBC
EASTMAN CHEMICAL COM,US2774321002,US2774321002,EMN,UA,,EASTMAN CHEMICAL CO,Equity,BBG000BLW530,US,US,1.0,True,US,EMN
EATON CORPORATION PLC COM,IE00B8KQN827,IE00B8KQN827,ETNEUR,XF,,EATON CORP PLC,Equity,BBG0072551V8,IE,IE,1.0,True,IE,ETNEUR
EBAY INC,US2786421030,US2786421030,EBAY,UA,,EBAY INC,Equity,BBG000C43RR5,US,US,1.0,True,US,EBAY
EBOS GROUP LTD,NZEBOE0001S6,NZEBOE0001S6,EBO,NZ,,EBOS GROUP LTD,Equity,BBG000BQ6Y08,NZ,NZ,1.0,True,NZ,EBO
ECOLAB LTD,US2788651006,US2788651006,ECL,UA,,ECOLAB INC,Equity,BBG000BHKYH4,US,US,1.0,True,US,ECL
EDENRED,FR0010908533,FR0010908533,EDEN,FP,,EDENRED,Equity,BBG000W90780,FR,FR,1.0,True,FR,EDEN
EDGEWISE THERAPEUTICS INC,US28036F1057,US28036F1057,EWTX,UA,,EDGEWISE THERAPEUTICS INC,Equity,BBG00K4Y2H24,US,US,1.0,True,US,EWTX
EDP RENOVAVEIS SA,ES0127797019,ES0127797019,EDW,GF,,EDP RENOVAVEIS SA,Equity,BBG000TRGBC3,ES,DE,1.0,True,DE,EDW
EDWARDS LIFESCIENCES CORP,US28176E1082,US28176E1082,EW,UA,,EDWARDS LIFESCIENCES CORP,Equity,BBG000BRXP69,US,US,1.0,True,US,EW
EICHER MOTORS INR1,INE066A01021,INE066A01021,EIM,IB,,EICHER MOTORS LTD,Equity,BBG000CQTR98,IN,IN,1.0,True,IN,EIM
EIFFAGE INC,FR0000130452,FR0000130452,FGR,FP,,EIFFAGE,Equity,BBG000BC1RY2,FR,FR,1.0,True,FR,FGR
EISAI CO LTD JPY,JP3160400002,JP3160400002,4523,JT,,EISAI CO LTD,Equity,BBG000BG6F83,JP,JP,1.0,True,JP,4523
ELASTIC NV,NL0013056914,NL0013056914,ESTCGBP,X2,,ELASTIC NV,Equity,BBG00SHZ8NT2,NL,NL,1.0,True,NL,ESTCGBP
ELBIT SYSTEMS LTD,IL0010811243,IL0010811243,ESLT,IT,,ELBIT SYSTEMS LTD,Equity,BBG000BJVH94,IL,IL,1.0,True,IL,ESLT
ELDERS LIMITED,AU000000ELD6,AU000000ELD6,ELD,AT,,ELDERS LTD,Equity,BBG000BKCVW5,AU,AU,1.0,True,AU,ELD
ELECTRIC POWER DEVELOPMENT CO LTD,JP3551200003,JP3551200003,9513,JT,,ELECTRIC POWER DEVELOPMENT C,Equity,BBG000P26QQ5,JP,JP,1.0,True,JP,9513
ELECTROCOMPONENTS PLC,GB0003096442,GB0003096442,ECM,XC,,RS GROUP PLC,Equity,BBG000H47VT5,GB,GB,1.0,True,GB,ECM
ELECTROLUX AB SER B NPV,SE0016589188,SE0016589188,ELUXB,SS,,ELECTROLUX AB-B,Equity,BBG000BC1099,SE,SE,1.0,True,SE,ELUXB
ELECTRONIC ARTS INC,US2855121099,US2855121099,EA,UA,,ELECTRONIC ARTS INC,Equity,BBG000BP0KQ8,US,US,1.0,True,US,EA
ELEMENT FINANCIAL CORP,CA2861812014,CA2861812014,EFN,CT,,ELEMENT FLEET MANAGEMENT COR,Equity,BBG001J94C33,CA,CA,1.0,True,CA,EFN
ELEMENTIS PLC,GB0002418548,GB0002418548,ELM,LN,,ELEMENTIS PLC,Equity,BBG000BV1FV9,GB,GB,1.0,True,GB,ELM
ELEVANCE HEALTH INC,US0367521038,US0367521038,ELV,UA,,ELEVANCE HEALTH INC,Equity,BBG000BCG930,US,US,1.0,True,US,ELV
EMCOR GROUP INC,US29084Q1004,US29084Q1004,EME,UA,,EMCOR GROUP INC,Equity,BBG000BBRPL4,US,US,1.0,True,US,EME
EMECO HOLDINGS LTD,AU000000EHL7,AU000000EHL7,EHL,AT,,EMECO HOLDINGS LTD,Equity,BBG000BVHXT6,AU,AU,1.0,True,AU,EHL
EMERALD RESOURCES NL ORDINARY FULLY PAID,AU000000EMR4,AU000000EMR4,EMR,AT,,EMERALD RESOURCES NL,Equity,BBG000BRL4C2,AU,AU,1.0,True,AU,EMR
EMERSON ELECTRIC CO,US2910111044,US2910111044,EMR,UA,,EMERSON ELECTRIC CO,Equity,BBG000BHX7N2,US,US,1.0,True,US,EMR
EMIRATES NBD BANK PJSC,AEE000801010,AEE000801010,EMIRATES,DB,,EMIRATES NBD PJSC,Equity,BBG000TGY852,AE,AE,1.0,True,AE,EMIRATES
EML PAYMENTS LIMITED,AU000000EML7,AU000000EML7,EML,AT,,EML PAYMENTS LTD,Equity,BBG000KSJCT7,AU,AU,1.0,True,AU,EML
EMPIRE CO LIMITED,CA2918434077,CA2918434077,EMP/A,CT,,EMPIRE CO LTD 'A',Equity,BBG000BYMXV1,CA,CA,1.0,True,CA,EMP/A
EMS CHEMIE HLDS REG,CH0016440353,CH0016440353,EMSN,SE,,EMS-CHEMIE HOLDING AG-REG,Equity,BBG000SVX806,CH,CH,1.0,True,CH,EMSN
ENACT HLDGS INC COM,US29249E1091,US29249E1091,ACT,UA,,ENACT HOLDINGS INC,Equity,BBG00WSNP4R3,US,US,1.0,True,US,ACT
ENDEAVOUR GROUP LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000154833,AU0000154833,EDV,AT,,ENDEAVOUR GROUP LTD/AUSTRALI,Equity,BBG006YQKTG8,AU,AU,1.0,True,AU,EDV
ENDEAVOUR MINING PLC,GB00BL6K5J42,GB00BL6K5J42,EDV,LN,,ENDEAVOUR MINING PLC,Equity,BBG011DVVG21,GB,GB,1.0,True,GB,EDV
ENEOS HOLDINGS INC,JP3386450005,JP3386450005,5020,JT,,ENEOS HOLDINGS INC,Equity,BBG000QDR164,JP,JP,1.0,True,JP,5020
ENI SPA,IT0003132476,IT0003132476,ENI,IM,,ENI SPA,Equity,BBG000FVRTJ1,IT,IT,1.0,True,IT,ENI
ENLIVEN THERAPEUTICS ORD SHS,US29337E1029,US29337E1029,ELVN,UA,,ENLIVEN THERAPEUTICS INC,Equity,BBG00CP3BDD4,US,US,1.0,True,US,ELVN
ENOMOTO ORD SHS,JP3165800008,JP3165800008,6928,JT,,ENOMOTO CO LTD,Equity,BBG000BGBF32,JP,JP,1.0,True,JP,6928
ENOVA INTERNATIONAL INC,US29357K1034,US29357K1034,ENVA,UA,,ENOVA INTERNATIONAL INC,Equity,BBG0022PSJ14,US,US,1.0,True,US,ENVA
ENPHASE ENERGY INC,US29355A1079,US29355A1079,ENPH,UA,,ENPHASE ENERGY INC,Equity,BBG001R3MNY9,US,US,1.0,True,US,ENPH
