BP P.L.C,GB0007980591        ,39035,310305,0.00%
BRAMBLES LIMITED,AU000000BXB1        ,280011,5387417,0.06%
BRAVURA SOLUTIONS LIMITED ORDINARY FULLY PAID,AU000000BVS9        ,24462,55040,0.00%
BREEDON GROUP PLC,GB00BM8NFJ84        ,10895,98181,0.00%
BRENNTAG SE,DE000A1DAHH0        ,274,26535,0.00%
BREVILLE GROUP LIMITED,AU000000BRG2        ,58986,2086931,0.02%
BRIDGEBIO PHARMA INC,US10806X1028        ,14128,626124,0.01%
BRIDGEPOINT GROUP,GB00BND88V85        ,10598,77176,0.00%
BRIDGESTONE CORP,JP3830800003        ,1201,65932,0.00%
BRIGHTCOVE INC,US10921T1016        ,4205,29546,0.00%
BRIGHTHOUSE FINANCIAL INC,US10922N1037        ,7503,582148,0.01%
BRIGHTVIEW HOLDINGS INC,US10948C1071        ,2694,69581,0.00%
BRILLIANCE CHINA AUTOMOTIVE HLDGS LTD,BMG1368B1028        ,141451,112349,0.00%
BRINKER INTERNATIONAL INC,US1096411004        ,927,198107,0.00%
BRISTOL MYERS SQUIBB COMPANY,US1101221083        ,20689,1889957,0.02%
BRITANNIA INDUSTRIES LTD,INE216A01030        ,936,84093,0.00%
BRITVIC PLC,GB00B0N8QD54        ,8789,232727,0.00%
BROADCOM ORD SHS,US11135F1012        ,168686,63164149,0.65%
BROADRIDGE FINANCIAL SOLUTIONS LLC,US11133T1034        ,2096,765437,0.01%
BROOKFIELD ASSET MNGMT CL A ORD,CA1130041058        ,750,65619,0.00%
BROOKFIELD CORP,CA11271J1075        ,2888,267940,0.00%
BROOKFIELD RENEWA. CL A EXCH SUB VOTING SHS TEMP,CA11285B1085        ,368,16451,0.00%
BROTHER INDUSTRIES LTD,JP3830000000        ,463,12833,0.00%
BROWN BROWN INC,US1152361010        ,4526,745850,0.01%
BROWN FORMAN CORP,US1156372096        ,7597,465995,0.00%
BUILDERS FIRSTSOURCE INC,US12008R1077        ,2516,580838,0.01%
BUNGE GLOBAL SA COM USD0.01,CH1300646267        ,4480,562673,0.01%
BUNKA SHUTTER CO LTD,JP3831600006        ,34757,694744,0.01%
BUNZL PLC,GB00B0744B38        ,709,47251,0.00%
BURBERRY GROUP PLC,GB0031743007        ,10476,207666,0.00%
BUREAU VERITAS SA,FR0006174348        ,670,32889,0.00%
BURGUNDY DIAMOND MINES LIMITED ORDINARY FULLY PAID,AU0000118994        ,1009036,89804,0.00%
BURLINGTON STORES INC,US1220171060        ,152,69996,0.00%
BURSA MALAYSIA BERHAD,MYL1818OO003        ,18174,58817,0.00%
BUYSELL TECHNOLOGIES ORD SHS,JP3778270003        ,1584,44194,0.00%
BUZZI S.P.A,IT0001347308        ,4764,283460,0.00%
BWX TECHNOLOGIES I COM,US05605H1005        ,3152,567123,0.01%
BYTES TECHNOLOGY LTD,GB00BMH18Q19        ,7625,65184,0.00%
C.H. ROBINSON WORLDWIDE INC,US12541W2098        ,3587,598520,0.01%
CABOT OIL AND GAS CORP,US1270971039        ,16761,691398,0.01%
CACI INTERNATIONAL INC - CLASS A,US1271903049        ,470,306815,0.00%
CADENCE DESIGN SYSTEMS INC,US1273871087        ,15644,7591766,0.08%
CAE INC,CA1247651088        ,639,26204,0.00%
CAESARS ENTERTAINMENT INC,US12769G1004        ,8588,463560,0.00%
CAL-MAINE FOODS INC,US1280302027        ,854,141992,0.00%
CALERES INC COM USD 01,US1295001044        ,4771,178478,0.00%
CALIBRE MINING CORP,CA13000C2058        ,12694,30650,0.00%
CAMDEN NATIONAL CORP,US1330341082        ,2287,157904,0.00%
CANADIAN IMPERIAL BANK OF COMMERCE COM NPV,CA1360691010        ,1984,202596,0.00%
CANADIAN NATIONAL RAILWAY COMPANY,CA1363751027        ,1291,211709,0.00%
CANADIAN NATURAL RESOURCES ORD SHS,CA1363851017        ,4464,222481,0.00%
CANADIAN PACIFIC KANSAS CITY,CA13646K1084        ,1973,230606,0.00%
CANADIAN TIRE CLASS 'A' CUM NON-VTG COM NPV,CA1366812024        ,99,16846,0.00%
CANALSA,FR001400T0D6        ,1440,5915,0.00%
CANON INC,JP3242800005        ,2510,133135,0.00%
CAPCOM CO LTD,JP3218900003        ,7994,285409,0.00%
CAPGEMINI SA,FR0000125338        ,5911,1563419,0.02%
CAPITAL ONE FINANCIAL CORPORATION,US14040H1059        ,4574,1317278,0.01%
CAPRICORN METALS LTD ORDINARY FULLY PAID,AU000000CMM9        ,299309,1879657,0.02%
CAPSTONE COPPER CO COM NPV,CA14071L1085        ,62675,625723,0.01%
CAPSTONE COPPER CORP CDI,AU0000318552        ,1271150,12469978,0.13%
CARSALES COM LTD,AU000000CAR3        ,367040,13224463,0.14%
CARDINAL HEALTH INC,US14149Y1082        ,4327,826629,0.01%
CARGO THERAPEUTICS ORD SHS,US14179K1016        ,9436,219763,0.00%
CARGURUS INC,US1417881091        ,106657,6294534,0.06%
CARL ZEISS MEDITEC NPV,DE0005313704        ,80,6126,0.00%
CARLISLE COS INC,US1423391002        ,99,59095,0.00%
CARLSBERG AS - B,DK0010181759        ,256,39605,0.00%
CARLYLE GROUP INC,US14316J1088        ,485,39548,0.00%
CARMAX INC,US1431301027        ,4422,583981,0.01%
CARNIVAL CORP USD,PA1436583006        ,24160,972395,0.01%
CARNIVAL PLC ADR,US14365C1036        ,2133,77566,0.00%
CARREFOUR SA,FR0000120172        ,1144,26274,0.00%
CARRIER GLOBAL CORPORATION,US14448C1045        ,10268,1132024,0.01%
CARTERS INC,US1462291097        ,1321,115580,0.00%
CARVANA CO,US1468691027        ,3098,1017639,0.01%
CATALYST PHARMACEUTICAL INC,US14888U1016        ,1794,60471,0.00%
CATAPULT GROUP INTERNATIONAL LTD ORDINARY FULLY PAID,AU000000CAT9        ,17223,63897,0.00%
CATERPILLAR INC,US1491231015        ,4516,2645895,0.03%
CAVA GROUP INC,US1489291021        ,1689,307762,0.00%
CBOE GLOBAL MARKET,US12503M1080        ,2197,693511,0.01%
CCC SA,PLCCC0000016        ,893,64176,0.00%
CCL INDUSTRIES INC,CA1249003098        ,320,26545,0.00%
CD PROJEKT SA,PLOPTTC00011        ,3007,225126,0.00%
CD PROJEKT SA,US1251051066        ,431,8019,0.00%
CDW CORP,US12514G1085        ,4610,1295726,0.01%
CECONOMY AG ORD NPV,DE0007257503        ,1526,6723,0.00%
CELANESE CORP SERIES A,US1508701034        ,4934,551522,0.01%
CELESTICA ORD SHS,CA15101Q2071        ,8008,1193866,0.01%
CELLDEX THERAPEUTICS INC,US15117B2025        ,27383,1117611,0.01%
CELSIUS HOLDINGS INC,US15118V2079        ,8503,361736,0.00%
CEMBRA MONEY BANK AG,CH0225173167        ,2116,309178,0.00%
CENCORA INC COM,US03073E1055        ,10298,3736856,0.04%
CENOVUS ENERGY INC COM NPV,CA15135U1093        ,2899,70936,0.00%
CENOVUS ENERGY INC US LISTING,CA15135U1093        ,2551,62414,0.00%
CENTENE CORPORATION,US15135B1017        ,14418,1410742,0.01%
CENTERRA GOLD ORD SHS,CA1520061021        ,8679,79760,0.00%
CENTRAL CHINA LAND MEDIA CO LTD,CNE0000000X4        ,21282,53495,0.00%
CENTRAL JAPAN RAILWAY CO,JP3566800003        ,1631,49707,0.00%
CENTRAL PACIFIC FINANCIAL CORP,US1547604090        ,529,24810,0.00%
CES ENERGY SOLUTION CORP,CA15713J1049        ,5403,60192,0.00%
CF INDUSTRIES HOLDINGS INC,US1252691001        ,4517,622461,0.01%
CG ONCOLOGY ORD SHS,US1569441009        ,5386,249474,0.00%
CG POWER AND INDUSTRIAL SOLUTIONS LTD,INE067A01029        ,43859,602354,0.01%
CGI INC,CA12532H1047        ,430,75926,0.00%
CGI INC COM NPV SUB VTG SHS CL A,CA12532H1047        ,120,21121,0.00%
CHAILEASE HOLDING CO LTD,KYG202881093        ,55398,308394,0.00%
CHALLENGER LIMITED,AU000000CGF5        ,738745,4439857,0.05%
CHAMPION IRON LTD,AU000000CIA2        ,97069,558144,0.01%
CHANGHONG MEILING ORD SHS A,CNE000000BT4        ,283925,512649,0.01%
CHANGJIANG JINGGONG BUILA,CNE000001BH7        ,8016,5357,0.00%
CHANGZHENG ENGINEERING CO A,CNE100001VQ5        ,5169,17797,0.00%
CHARLES RIVER LABORATORIES INTERNATIONAL INC,US1598641074        ,1871,557852,0.01%
CHARTER COMMUNICATIONS INC,US16119P1084        ,1553,859807,0.01%
CHECK POINT SOFTWARE TECH,IL0010824113        ,215,64725,0.00%
CHEIL WORLDWIDE INC,KR7030000004        ,2477,46068,0.00%
CHELVETIA HOLDING CHF0.02 POST SUBD,CH0466642201        ,74,19751,0.00%
CHESAPEAKE ENERGY COM USD0.01,US1651677353        ,430,69116,0.00%
CHEVRON CORP,US1667641005        ,14968,3501630,0.04%
CHIBA BANK LTD JPY,JP3511800009        ,1058,13294,0.00%
CHICONY ELECTRONICS CO LTD,TW0002385002        ,129615,970590,0.01%
CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED,CNE1000002G3        ,8953,8488,0.00%
CHINA CONSTRUCTION BANK,CNE1000002H1        ,27822,37485,0.00%
CHINA EASTERN AIRLINES CORPORATION LTD,CNE1000002K5        ,14600,7862,0.00%
CHINA HAINAN RUBBER INDUSTRY GROUP CO LTD,CNE100000YM0        ,4731,5664,0.00%
CHINA LIFE INSURANCE CO LTD,CNE1000002L3        ,2273,6937,0.00%
CHINA MENGNIU DAIRY CO,KYG210961051        ,250549,914776,0.01%
CHINA MERCHANTS BANK CO LIMITED,CNE1000002M1        ,1171,9737,0.00%
CHINA MERCHANTS PORT GROUPA,CNE000000818        ,7761,35154,0.00%
CHINA PACIFIC INSURANCE GR H,CNE1000009Q7        ,633377,3318642,0.03%
CHINA PACIFIC INSURANCE GROUP CO LTD,CNE1000008M8        ,1295,9763,0.00%
CHINA PETROLEUM & CHEMICAL,CNE1000002Q2        ,2328968,2154871,0.02%
CHINA RAILWAY SIGNAL AND COMMUNICATION CORP LTD,CNE1000021L3        ,106123,76566,0.00%
CHINA REINSURANCE GROUP CORP,CNE100002342        ,232906,42131,0.00%
CHINA RESOURCES BUILDING MATERIALS TECHNOLOGY HOLDINGS,KYG2113L1068        ,26858,8879,0.00%
CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,KYG216771363        ,48344,123234,0.00%
CHINA YANGTZE POWER CO LTD,CNE000001G87        ,145133,948963,0.01%
CHINA ZHESHANG BANK CO LTDH,CNE1000025S9        ,300464,138689,0.00%
CHIPOTLE MEXICAN GRILL ORD,US1696561059        ,15674,1526542,0.02%
CHOICE HOTELS INTERNATIONAL INC,US1699051066        ,598,137244,0.00%
CHOLAMANDALAM INVEST AND FINANCE COMPANY LTD,INE121A01024        ,24427,546503,0.01%
CHOW SANG SANG HLDG,BMG2113M1203        ,400603,540576,0.01%
CHROMA ATE INC,TW0002360005        ,8557,172420,0.00%
CHRYSOS CORPORATION LIMITED ORDINARY FULLY PAID,AU0000218190        ,400043,1976213,0.02%
CHUBB LIMITED ORD,CH0044328745        ,3940,1758123,0.02%
CHUGAI PHARMACEUTICAL JPY,JP3519400000        ,37129,2670618,0.03%
CHURCH & DWIGHT CO,US1713401024        ,4627,782582,0.01%
CHURCHILL DOWNS INCORPORATED,US1714841087        ,1356,292423,0.00%
CIENA CORP,US1717793095        ,10743,1471517,0.02%
CIMPRESS PLC COM EUR0.01,IE00BKYC3F77        ,1155,133757,0.00%
CINCINNATI FINANCIAL CORP,US1720621010        ,3344,776091,0.01%
CINEMARK HOLDINGS INC,US17243V1026        ,2266,113376,0.00%
CINEPLEX INC,CA1724541000        ,8221,112631,0.00%
CINTAS CORP,US1729081059        ,5270,1555222,0.02%
CIPLA LIMITED,INE059A01026        ,10923,315071,0.00%
CISCO SYSTEMS INC,US17275R1023        ,137784,13174235,0.13%
CITIGROUP INC USD,US1729674242        ,121939,13863019,0.14%
CITIZEN WATCH CO LTD,JP3352400000        ,58214,558771,0.01%
CITYCHAMP WATCH AND JEWELLERY GROUP LTD,KYG2161T1004        ,60465,10435,0.00%
CJ CORP PREFERENCE S1,KR7001041003        ,123,7737,0.00%
CJ CORPORATION,KR7001040005        ,5158,560823,0.01%
CJ ENM CO LTD,KR7035760008        ,4159,244999,0.00%
CK HUTCHISON HOLDINGS LTD,KYG217651051        ,7226,62350,0.00%
CLAL INSURANCE ENTERPRISE HOLDINGS LIMITED,IL0002240146        ,397,15064,0.00%
CLARIANT AG REG,CH0012142631        ,336,6047,0.00%
CLARKSON PLC,GB0002018363        ,965,77225,0.00%
CLEAN SCIENCE AND TECHNOLOGY LTD,INE227W01023        ,3247,87180,0.00%
CLEANAWAY WASTE MANAGEMENT LIMITED,AU000000CWY3        ,3598391,9535737,0.10%
CLEAR SECURE INC,US18467V1098        ,46349,1994244,0.02%
CLEARWATER ANALYTICS HOLDINGS ORD SHS CLASS A,US1851231068        ,18914,840669,0.01%
CLIMB GLOBAL SOLUTIONS INC,US9467601053        ,38,7853,0.00%
CLINUVEL PHARMACEUTICALS LTD,AU000000CUV3        ,21751,262311,0.00%
CLOROX CO DEL,US1890541097        ,2665,698997,0.01%
CLOUDFLARE INC,US18915M1071        ,639,111182,0.00%
CMC MARKETS PLC,GB00B14SKR37        ,3834,19235,0.00%
CME GROUP INC COM,US12572Q1058        ,10692,4010525,0.04%
CMST DEVELOPMENT CO LTD,CNE000000NS1        ,79389,112075,0.00%
CNH INDUSTRIAL NV COM,NL0010545661        ,1852,33885,0.00%
COAST ENTERTAINMENT HOLDINGS LIMITED ORDINARY FULLY PAID,AU0000314254        ,34943,17122,0.00%
COATS GROUP PLC,GB00B4YZN328        ,57216,109254,0.00%
COCA COLA BOTTLERS JAPAN HOLDINGS,JP3293200006        ,2718,69752,0.00%
COCA COLA BOTTLING CO CONSOLIDATED,US1910981026        ,116,236626,0.00%
COCA COLA CO USD,US1912161007        ,77146,7757542,0.08%
COCA COLA HBC AG ORD,CH0198251305        ,438,24218,0.00%
COCA-COLA EUROPACIFIC PARTNERS,GB00BDCPN049        ,441,54695,0.00%
COCHLEAR LIMITED,AU000000COH5        ,50389,14606660,0.15%
CODAN LIMITED,AU000000CDA3        ,66006,1062689,0.01%
COFACE SA,FR0010667147        ,19388,466284,0.00%
COFOE MEDICAL TECHNOLOGY CA,CNE100004Y98        ,3860,30199,0.00%
COGNIZANT TECH SOLUTIONS A,US1924461023        ,14910,1851898,0.02%
COINBASE GLOBAL INC,US19260Q1076        ,408,163549,0.00%
COLES GROUP LTD,AU0000030678        ,531962,10048757,0.10%
COLGATE PALMOLIVE,US1941621039        ,46251,6791096,0.07%
COLLINS FOODS LIMITED,AU000000CKF7        ,11046,80196,0.00%
COLOPLAST,DK0060448595        ,266,46915,0.00%
COLUMBIA SPORTSWEAR CO,US1985161066        ,1694,229573,0.00%
COMCAST CORP,US20030N1019        ,39215,2377051,0.02%
COMFORT SYSTEMS USA INC,US1999081045        ,902,617801,0.01%
COMFORTDELGRO CORP LTD,SG1N31909426        ,42182,73911,0.00%
COMMERCE BANCSHARES INCORPORATED,US2005251036        ,2676,269319,0.00%
COMMERZBANK AG NPV,DE000CBK1001        ,1999,52580,0.00%
COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7        ,1239465,189948017,1.94%
COMMVAULT SYSTEMS INC,US2041661024        ,4059,989416,0.01%
COMPAGNIE DE SAINT-GOBAIN,FR0000125007        ,957,137158,0.00%
COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332        ,8926,2193771,0.02%
COMPASS GROUP ORD,GB00BD6K4575        ,21645,1165513,0.01%
COMPASS GROUP PLC,US20449X4016        ,285,15441,0.00%
COMPUTACENTER PLC,GB00BV9FP302        ,2210,94953,0.00%
COMPUTERSHARE LTD,AU000000CPU5        ,87073,2956119,0.03%
COMSYS HOLDINGS CORP,JP3305530002        ,5512,183527,0.00%
CONAGRA BRANDS INC,US2058871029        ,13789,618035,0.01%
CONCORDIA FINANCIAL GROUP LTD,JP3305990008        ,2094,18748,0.00%
CONOCOPHILLIPS,US20825C1045        ,40217,6441609,0.07%
CONSTELLATION BRANDS INC-A,US21036P1084        ,2402,857496,0.01%
CONSTELLATION SOFTWARE COM,CA21037X1006        ,56,277828,0.00%
CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CNE100003662        ,48528,2856272,0.03%
CONTINENTAL AG,DE0005439004        ,220,23826,0.00%
COOPER COS INC COM USD0.10 (P/S),US2166485019        ,10068,1494827,0.02%
COPART INC,US2172041061        ,22600,2094830,0.02%
CORCEPT THERAPEUTICS INC,US2183521028        ,1661,135148,0.00%
CORE SCIENTIFIC INC,US21874A1060        ,3978,90272,0.00%
COREBRIDGE FINANCIAL ORD,US21871X1090        ,562,27174,0.00%
CORECARD CORP,US45816D1000        ,820,30058,0.00%
CORECIVIC INC COM USD0.01,US21871N1019        ,14779,518927,0.01%
CORNING INC,US2193501051        ,23530,1805959,0.02%
COROMANDEL INTERNATIONAL LTD,INE169A01031        ,3159,112029,0.00%
CORPAY INC COM USD 0.001,US2199481068        ,3189,1742863,0.02%
CORPORATE TRAVEL MANAGEMENT LIMITED,AU000000CTD3        ,479052,6347434,0.06%
CORTEVA INC,US22052L1044        ,10134,932276,0.01%
COSCO SHIPPING  DEVELOPMENT CO,CNE100000536        ,238759,51629,0.00%
COSMO ENERGY HOLDINGS CO LTD,JP3298000005        ,5914,421163,0.00%
COSTCO WHOLESALE CORP,US22160K1051        ,3756,5557965,0.06%
COUPANG INC COM CL A SHS ORD,US22266T1097        ,140750,4996665,0.05%
COVESTRO AG NPV,DE000A40KY26        ,551,53480,0.00%
COWAY CO LTD,KR7021240007        ,7,526,0.00%
CP SEVEN ELEVEN PCL - FOREIGN,TH0737010Y16        ,239034,639767,0.01%
CPI CARD GROUP ORD HS,US12634H2004        ,380,18348,0.00%
CRANSWICK PLC,GB0002318888        ,1889,185847,0.00%
CREDICORP LIMITED,BMG2519Y1084        ,20,6035,0.00%
CREDIT AGRICOLE SA,FR0000045072        ,2245,49907,0.00%
CREDIT CORP GROUP LIMITED,AU000000CCP3        ,37177,594461,0.01%
CREDIT SAISON CO LIMITED,JP3271400008        ,8331,316597,0.00%
CREDITO EMILIANO SPA,IT0003121677        ,11981,218019,0.00%
CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93        ,7431,25387,0.00%
CRH PUBLIC LIMITED ORD SHS,IE0001827041        ,1445,215911,0.00%
CRINETICS PHARMACEUTICALS INC,US22663K1079        ,5695,470317,0.00%
CRITERIA CAIXACORP SA,ES0140609019        ,374981,3283694,0.03%
CROCS INC,US2270461096        ,1277,225866,0.00%
CRODA INTERNATIONAL PLC,GB00BJFFLV09        ,265,18150,0.00%
CROMPTON GREAVES CONSUMER ELECTRICALS LTD,INE299U01018        ,19981,149194,0.00%
CROWDSTRIKE HOLDINGS INC,US22788C1053        ,15105,8347700,0.09%
CROWN HOLDINGS INC,US2283681060        ,254,33857,0.00%
CRYSTAL INTERNATIONAL GROUP LTD,KYG2701R1011        ,11294,10262,0.00%
CSL LIMITED,AU000000CSL8        ,540988,152331479,1.56%
CSX CORP COM,US1264081035        ,23391,1219159,0.01%
CTS EVENTIM AG AND CO. KGAA,DE0005470306        ,132,17986,0.00%
CUMMINS INC,US2310211063        ,1814,1021242,0.01%
CUMMINS INDIA LTD,INE298A01020        ,4118,254324,0.00%
CVC CAPITAL PARTNERS PLC,JE00BRX98089        ,555,19721,0.00%
CVS HEALTH CORP,US1266501006        ,15182,1100718,0.01%
CYBERAGENT INC,JP3311400000        ,60403,680351,0.01%
CYBERARK SOFTWARE LTD,IL0011334468        ,100,54042,0.00%
CYTOKINETICS INC,US23282W6057        ,17813,1353324,0.01%
D LINK CORP,TW0002332004        ,11776,14765,0.00%
D/S NORDEN A/S,DK0060083210        ,464,22108,0.00%
DAESANG CORPORATION,KR7001680008        ,4858,102272,0.00%
DAESANG HOLDINGS CO LTD,KR7084690007        ,38391,428770,0.00%
DAI ICHI LIFE HOLD NPV,JP3476480003        ,2182,94979,0.00%
DAI NIPPON PRINTING CO LTD,JP3493800001        ,838,19107,0.00%
DAIFUKU CO LTD NPV,JP3497400006        ,11308,383503,0.00%
DAIHEN CORP,JP3497800007        ,503,41849,0.00%
DAIICHI SANKYO COMPANY LIMITED,JP3475350009        ,4236,189476,0.00%
DAIKIN INDUSTRIES,JP3481800005        ,4162,798173,0.01%
DAIMLER AG,US2338252073        ,8795,196304,0.00%
DAIMLER TRUCK HOLDING AG,DE000DTR0CK8        ,1042,64193,0.00%
DAISHIN SECURITIES CO LTD,KR7003541000        ,15430,265769,0.00%
DAIWA SECURITIES GROUP INC.,JP3502200003        ,2811,30271,0.00%
DANAHER CORP,US2358511028        ,24002,8898724,0.09%
DANIELI & C DI RISP EUR1,IT0000076486        ,765,24525,0.00%
DANONE,FR0000120644        ,1362,148324,0.00%
DARDEN RESTAURANTS INC,US2371941053        ,2601,784198,0.01%
DARFON ELECTRONICS CORP,TW0008163007        ,273577,586952,0.01%
DASHANG ORD SHS A,CNE000000DW4        ,81117,473310,0.00%
DASSAULT AVIATION EUR0.80 (POST SUBDIVISION),FR0014004L86        ,39,13014,0.00%
DASSAULT SYSTEMES SE,FR0014003TT8        ,1615,90477,0.00%
DATA3 LIMITED,AU000000DTL4        ,55264,353137,0.00%
DATADOG INC,US23804L1035        ,34335,7923962,0.08%
DATANG INTL POWER GEN CO-H,CNE1000002Z3        ,26858,8041,0.00%
DAVE AND BUSTERS ENTERTAINMENT INC,US2383371091        ,10468,493512,0.01%
DAVIDE CAMPARI MIL,NL0015435975        ,1230,12380,0.00%
DAVITA INC,US23918K1088        ,2172,524696,0.01%
DAY ONE BIOPHARMAC COM,US23954D1090        ,22057,451373,0.00%
DAYFORCE INC,US15677J1088        ,4797,562842,0.01%
DBS GROUP HOLDINGS LTD,SG1L01001701        ,100974,5226533,0.05%
DCC PLC,IE0002424939        ,198,20536,0.00%
DE GREY MINING LTD,AU000000DEG6        ,3097700,5467441,0.06%
DECKERS OUTDOOR ORD SHS A,US2435371073        ,2582,846862,0.01%
DEERE & CO,US2441991054        ,10490,7178901,0.07%
DEHUA TB NEW DECORATION MATERIAL CO LTD,CNE000001LT1        ,25,66,0.00%
DELEK GROUP LTD,IL0010841281        ,183,38472,0.00%
DELHIVERY LTD,INE148O01028        ,207988,1358196,0.01%
DELIVEROO PLC,GB00BNC5T391        ,39934,114623,0.00%
DELIVERY HERO SE,DE000A2E4K43        ,383,17393,0.00%
DELL TECHNOLOGIES INC,US24703L2025        ,9302,1731420,0.02%
DELTA AIR LINES INC,US2473617023        ,8391,819971,0.01%
DELTA ELECTRONICS INC,TW0002308004        ,86073,1825464,0.02%
DELTA GALIL INDUSTRIES LTD,IL0006270347        ,649,57811,0.00%
DELTA ISREAL BRAND ORD SHS,IL0011736993        ,489,13426,0.00%
DEMANT A S,DK0060738599        ,199,11782,0.00%
DEN DANSKE BANK AS DKK,DK0010274414        ,1856,84770,0.00%
DENSO CORP NPV,JP3551500006        ,34638,788306,0.01%
DENTSU GROUP INC,JP3551520004        ,408,15977,0.00%
DEPPON LOGISTICS ORD SHS A,CNE100002SZ0        ,17320,54918,0.00%
DESCARTES SYSTEMS GROUP INC,CA2499061083        ,238,43581,0.00%
DETERRA ROYALTIES LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000107484        ,540142,2009330,0.02%
DEUTSCHE BANK AG (REG),DE0005140008        ,4869,135509,0.00%
DEUTSCHE BOERSE AG,DE0005810055        ,9795,3643312,0.04%
DEUTSCHE LUFTHANSA AG,DE0008232125        ,1195,12348,0.00%
DEUTSCHE POST AG,DE0005552004        ,2152,122284,0.00%
DEVELOP GLOBAL LTD,AU0000179707        ,1660969,3886667,0.04%
DEVON ENERGY CORPORATION,US25179M1036        ,12894,681622,0.01%
DEXCOM INC,US2521311074        ,9998,1255881,0.01%
DGB FINANCIAL GROUP,KR7139130009        ,62578,561596,0.01%
DIAGEO ORD,GB0002374006        ,4694,240933,0.00%
DIAMONDBACK ENERGY INC,US25278X1090        ,7039,1862485,0.02%
DIASORIN SPA,IT0003492391        ,35,5800,0.00%
DICK'S SPORTING GOODS INC,US2533931026        ,121,44812,0.00%
DIETEREN GROUP,BE0974259880        ,43,11524,0.00%
DIGITALOCEAN HLDGS COM,US25402D1028        ,9114,501508,0.01%
DIP CORPORATION,JP3548640006        ,3498,90024,0.00%
DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18        ,39640,204625,0.00%
DISCO CORPORATION NPV,JP3548600000        ,1170,513833,0.01%
DISCOVER FINANCIAL SERVICES,US2547091080        ,3608,1009387,0.01%
DISCOVERIE GROUP PLC,GB0000055888        ,3611,52232,0.00%
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION SA,ES0126775032        ,432728,11073,0.00%
DIVERSIFIED ENERGY CO PLC,GB00BQHP5P93        ,2414,65623,0.00%
DIVIS LABORATORIES LTD,INE361B01024        ,7636,878541,0.01%
DIXON TECHNOLOGIES INR2.00 (POST SUBD),INE935N01020        ,529,179123,0.00%
DNB BANK ASA,NO0010161896        ,1889,60959,0.00%
DOCEBO ORD SHS,CA25609L1058        ,5690,411895,0.00%
DOCUSIGN INC,US2561631068        ,10545,1531777,0.02%
DOF GROUP ORD SHS,NO0012851874        ,10581,127144,0.00%
DOLLAR GENERAL,US2566771059        ,11093,1358454,0.01%
DOLLAR TREE INC,US2567461080        ,5532,669592,0.01%
DOLLARAMA INC,CA25675T1075        ,684,107706,0.00%
DOMAIN HOLDINGS AUSTRALIA LIMITED ORDINARY FULLY PAID,AU000000DHG9        ,411666,1041515,0.01%
DOMINO`S PIZZA GRP ORD GBP0.00520833,GB00BYN59130        ,15498,98748,0.00%
DOMINOS PIZZA ENTERPRISES LTD,AU000000DMP0        ,237799,7000816,0.07%
DOMINOS PIZZA INC,US25754A2015        ,882,597695,0.01%
DONALDSON COMPANY INC,US2576511099        ,2560,278427,0.00%
DOORDASH INC,US25809K1051        ,40630,11008043,0.11%
DORMA KABA HOLDING AG,CH0011795959        ,325,372922,0.00%
DORMAN PRODUCTS INC,US2582781009        ,504,105480,0.00%
DOUYU INTERNATIONAL HOLDADR,US25985W2044        ,609,11033,0.00%
DOVER CORPORATION COM,US2600031080        ,2524,764794,0.01%
DOW INC,US2605571031        ,12268,795170,0.01%
DOWA HOLDINGS CO LTD,JP3638600001        ,1837,84136,0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071        ,45262,61754,0.00%
DOWNER EDI LIMITED,AU000000DOW2        ,606192,3182510,0.03%
DOXIMITY INC,US26622P1075        ,6213,535731,0.01%
DR HORTON INC,US23331A1097        ,4198,947984,0.01%
DR ING HC F PORSCHE AG,DE000PAG9113        ,21567,2107192,0.02%
DR MARTENS PLC,GB00BL6NGV24        ,21236,31014,0.00%
DRAFTKINGS HOLDINGS INC,US26142V1052        ,926,55628,0.00%
DRAX GROUP PLC,GB00B1VNSX38        ,20070,263069,0.00%
DROPBOX INC,US26210C1045        ,84368,4093380,0.04%
DSM FIRMENICH AG EUR0.01,CH1216478797        ,392,64111,0.00%
DSV A/S,DK0060079531        ,6671,2287729,0.02%
DUFRY GROUP,CH0023405456        ,155,10008,0.00%
DUN AND BRADSTREET HOLDINGS INC,US26484T1060        ,6078,122307,0.00%
DUNDEE PRECIOUS METALS INC,CA2652692096        ,4671,68402,0.00%
DUNELM GROUP PLC,GB00B1CKQ739        ,4614,99674,0.00%
DUPONT DE NEMOURS INC,US26614N1028        ,6699,824953,0.01%
DYNATRACE INC,US2681501092        ,716,62890,0.00%
DYNE THERAPEUTICS,US26818M1080        ,22894,871172,0.01%
E INK HOLDINGS INC,TW0008069006        ,118693,1596333,0.02%
