Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
JP Morgan Chase & Co,IDR,,"10,470",0.00%
JP Morgan Chase & Co,ILS,,"333,138",0.00%
JP Morgan Chase & Co,INR,,"233,925",0.00%
JP Morgan Chase & Co,JPY,,"3,926,297",0.01%
JP Morgan Chase & Co,KRW,,"12,130",0.00%
JP Morgan Chase & Co,MXN,,"304,722",0.00%
JP Morgan Chase & Co,NOK,,"22,800",0.00%
JP Morgan Chase & Co,NZD,,"165,070",0.00%
JP Morgan Chase & Co,PHP,,"1,218",0.00%
JP Morgan Chase & Co,PLN,,"132,982",0.00%
JP Morgan Chase & Co,RON,,"5,570",0.00%
JP Morgan Chase & Co,RUB,,"93,726",0.00%
JP Morgan Chase & Co,SAR,,"82,627",0.00%
JP Morgan Chase & Co,SEK,,"106,521",0.00%
JP Morgan Chase & Co,SGD,,"2,733,053",0.01%
JP Morgan Chase & Co,THB,,862,0.00%
JP Morgan Chase & Co,TRY,,"15,144",0.00%
JP Morgan Chase & Co,TWD,,"216,525",0.00%
JP Morgan Chase & Co,USD,,"293,896,978",0.69%
JP Morgan Chase & Co,ZAR,,"256,731",0.00%
Macquarie Bank,AUD,,"38,983,009",0.09%
Macquarie Bank,CHF,,"-352,808",0.00%
Macquarie Bank,EUR,,"1,356,796",0.00%
Macquarie Bank,GBP,,"-95,725",0.00%
Macquarie Bank,JPY,,"-502,274",0.00%
Macquarie Bank,USD,,"8,957,298",0.02%
Members Equity Bank,AUD,,"15,352,942",0.04%
MSCI Inc,AUD,,58,0.00%
MSCI Inc,CAD,,"-194,605",0.00%
MSCI Inc,EUR,,"546,406",0.00%
MSCI Inc,GBP,,"-84,088",0.00%
MSCI Inc,JPY,,-168,0.00%
MSCI Inc,USD,,"5,032,742",0.01%
MUFG Bank Ltd,AUD,,"179,834,754",0.42%
National Australia Bank,AUD,,"412,350,276",0.97%
Hungarian National Bank,HUF,,"1,451,473",0.00%
Norfina,AUD,,"53,710,665",0.13%
Sumitomo Mitsui Banking Corporation,AUD,,"181,398,953",0.43%
UBS,AUD,,"9,248,202",0.02%
UBS,USD,,"1,368,136",0.00%
Wells Fargo,USD,,"4,298,334",0.01%
Westpac Banking Corporation,AUD,,"276,736,523",0.65%
Westpac Banking Corporation,USD,,"-206,010",0.00%
Total,,,"3,651,069,396",8.61%
,,,,
"Fixed Income 
Held directly or by associated entities or by PSTs
Internally managed",,,,
Total,,,0,0.00%
,,,,
"Fixed Income Investment in non-associated entities;
Held directly or by associated entities or by PSTs
Externally managed",,,,
Name of Fund Manager ,,,Value (AUD) ,Weighting (%)
"Apollo Global Management, LLC",,,"161,325,379",0.38%
"Bain Capital Credit, LP",,,"678,107,650",1.60%
Barings LLC,,,"2,380,492",0.01%
Capula Investment Management LLP,,,"385,866,573",0.91%
Citigroup Global Market Australia Pty Ltd,,,"1,129,968,984",2.67%
Coolabah Capital Institutional Investments Pty Ltd,,,"371,358,069",0.88%
"Elementum Advisors, LLC",,,"239,240,132",0.56%
"Fermat Capital Management, LLC",,,"304,426,507",0.72%
Hayfin Management limited,,,"11,079,214",0.03%
IFM Investors Pty Ltd,,,"6,950,602",0.02%
Jamieson Coote Bonds Pty Ltd,,,"635,572,105",1.50%
Janus Henderson Investors (Australia) Institutional Funds Management Limited,,,"631,650,774",1.49%
JPMorgan Asset Management (Australia) Limited,,,"113,107,911",0.27%
"Marathon Asset Management, L.P.",,,"790,847,662",1.87%
Metrics Credit Partners Pty Ltd,,,"298,588,056",0.70%
Partners Group Holding AG,,,"8,803,437",0.02%
PIMCO Australia Pty Ltd,,,"422,099,785",1.00%
QIC Limited,,,"135,509,409",0.32%
"Shenkman Capital Management, Inc",,,"530,015,057",1.25%
State Street Bank and Trust Company,,,"3,744",0.00%
TCW Asset Management Company LLC,,,"585,733,119",1.38%
Total,,,"7,442,634,664",17.56%
,,,,
Listed Equity,,,,
Name/kind of investment item ,Security Identifier,Units held ,Value (AUD) ,Weighting (%)
3i Group PLC,III LN,"109,771","7,913,584",0.02%
3M Co,MMM US,"31,378","6,542,247",0.02%
A O Smith Corp,AOS US,"18,472","2,035,056",0.00%
a2 Milk Co Ltd/The,A2M AU,"4,179,644","24,158,341",0.06%
A2A SpA,A2A IM,"734,539","2,635,095",0.01%
AAC Technologies Holdings Inc,2018 HK,"403,516","3,146,226",0.01%
ABB Ltd,ABBN SW,"124,208","10,862,266",0.03%
Abbott Laboratories,ABT US,"37,532","6,856,614",0.02%
AbbVie Inc,ABBV US,"91,557","26,277,431",0.06%
ABN AMRO Bank NV,ABN NA,"259,927","6,472,933",0.02%
Abu Dhabi Commercial Bank PJSC,ADCB UH,"571,402","2,618,102",0.01%
Abu Dhabi Islamic Bank PJSC,ADIB UH,"223,291","1,356,924",0.00%
Accent Group Ltd,AX1 AU,"70,732","165,513",0.00%
Accenture PLC,ACN US,"40,385","22,946,131",0.05%
Accton Technology Corp,2345 TT,"95,886","3,651,497",0.01%
ACS Actividades de Construccion y Servicios SA,ACS SM,"9,176","743,396",0.00%
Acuity Brands Inc,AYI US,"5,943","2,804,265",0.01%
Adairs Ltd,ADH AU,"31,874","86,059",0.00%
adidas AG,ADS GR,"3,467","1,372,989",0.00%
Adnoc Gas PLC,ADNOCGAS UH,"1,458,562","2,251,175",0.01%
ADNOC Logistics & Services,ADNOCLS UH,"105,983","253,054",0.00%
Adobe Inc,ADBE US,"78,112","56,100,565",0.13%
Adriatic Metals PLC,ADT AU,"56,209","219,215",0.00%
Advanced Micro Devices Inc,AMD US,"112,952","22,035,737",0.05%
Advantech Co Ltd,2395 TT,"312,601","5,336,160",0.01%
Advantest Corp,6857 JP,"77,215","7,298,911",0.02%
Adyen NV,ADYEN NA,"12,015","28,876,440",0.07%
Aena SME SA,AENA SM,945,"311,848",0.00%
AerCap Holdings NV,AER US,"85,981","13,289,837",0.03%
Aeroports de Paris SA,ADP FP,372,"69,545",0.00%
Aflac Inc,AFL US,"10,757","1,797,165",0.00%
Agilent Technologies Inc,A US,"1,682","364,917",0.00%
AGL Energy Ltd,AGL AU,"927,531","10,471,826",0.02%
Agnico Eagle Mines Limited/Mines Agnico Eagle Limitee,AEM CN,"35,581","4,493,659",0.01%
AIA Group Ltd,1299 HK,"3,642,314","42,636,694",0.10%
AIB Group PLC,AIBG ID,"28,044","249,992",0.00%
Aier Eye Hospital Group Co Ltd,300015 C2,"55,764","163,491",0.00%
Air Canada,AC CN,"16,196","404,875",0.00%
Air Liquide SA,AI FP,"11,288","2,962,380",0.01%
Airbnb Inc,ABNB US,"106,510","22,605,922",0.05%
Airbus SE,AIR FP,"60,780","15,733,618",0.04%
Airtac International Group,1590 TT,"64,337","2,675,081",0.01%
Ajinomoto Co Inc,2802 JP,"6,620","438,976",0.00%
Akamai Technologies Inc,AKAM US,"14,730","2,275,518",0.01%
Akbank TAS,AKBNK TI,"8,775","25,992",0.00%
Al Rajhi Bank,RJHI AB,"83,501","3,395,487",0.01%
Al Rajhi Co for Co-operative Insurance,ARCCI AB,"3,760","277,329",0.00%
Albertsons Cos Inc,ACI US,"5,317","168,663",0.00%
Alcoa Corp,AAI AU,"847,287","50,261,048",0.12%
Alcoa Corp,AA US,"114,291","6,973,945",0.02%
Alcon Inc,ALC SW,"175,103","23,998,089",0.06%
Alfresa Holdings Corp,2784 JP,400,"8,894",0.00%
Algonquin Power & Utilities Corp,AQN CN,"8,836","63,310",0.00%
Alibaba Group Holding Ltd,BABA US,"33,025","4,522,634",0.01%
Alibaba Group Holding Ltd,9988 HK,"1,684,531","28,860,507",0.07%
Align Technology Inc,ALGN US,"26,868","9,048,295",0.02%
Allegion plc,ALLE US,"87,110","18,385,780",0.04%
Allegro.eu SA,ALE PW,"90,336","956,535",0.00%
ALLETE Inc,ALE US,686,"71,789",0.00%
Alliance Aviation Services Ltd,AQZ AU,"1,422,167","4,223,835",0.01%
Alliant Energy Corp,LNT US,"2,922","279,096",0.00%
Allianz SE,ALV GR,"39,841","19,716,529",0.05%
Ally Financial Inc,ALLY US,"210,681","12,253,285",0.03%
Alnylam Pharmaceuticals Inc,ALNY US,"10,864","4,129,042",0.01%
Alpha Dhabi Holding PJSC,ALPHADHA UH,"944,938","4,944,557",0.01%
Alpha HPA Ltd,A4N AU,"213,646","190,145",0.00%
Alphabet Inc,GOOGL US,"589,910","180,360,106",0.43%
Alphabet Inc,GOOG US,"516,231","158,783,793",0.37%
Alps Alpine Co Ltd,6770 JP,"19,168","317,648",0.00%
ALS Ltd,ALQ AU,"2,953,403","44,537,317",0.11%
Amadeus IT Group SA,AMS SM,"53,032","6,048,909",0.01%
Amazon.com Inc,AMZN US,"860,213","304,808,515",0.72%
Ambev SA,ABEV US,"4,437,468","13,259,008",0.03%
Ambev SA,ABEV3 BZ,"157,658","483,894",0.00%
Amcor PLC,AMC AU,"3,228,288","48,327,480",0.11%
Amdocs Ltd,DOX US,"52,975","7,284,716",0.02%
Ameren Corp,AEE US,"3,096","445,760",0.00%
America Movil SAB de CV,AMXB MM,"2,768,013","3,214,412",0.01%
American Electric Power Co Inc,AEP US,"77,987","11,617,123",0.03%
American Express Co,AXP US,"126,091","60,442,030",0.14%
American International Group Inc,AIG US,"58,504","6,878,965",0.02%
American States Water Co,AWR US,416,"52,198",0.00%
American Water Works Co Inc,AWK US,"2,273","457,067",0.00%
Ameriprise Financial Inc,AMP US,"13,272","11,413,386",0.03%
Amgen Inc,AMGN US,"29,401","12,376,647",0.03%
Amotiv Ltd,AOV AU,"1,511,113","16,017,800",0.04%
AMP Ltd,AMP AU,"16,807,286","26,639,548",0.06%
Amphenol Corp,APH US,"22,949","2,574,177",0.01%
Amplitude Energy Ltd,AEL AU,"4,840,618","992,327",0.00%
Ampol Ltd,ALD AU,"2,593,728","73,117,184",0.17%
Amundi SA,AMUN FP,"100,872","10,830,753",0.03%
ANA Holdings Inc,9202 JP,"24,788","729,968",0.00%
Analog Devices Inc,ADI US,"40,933","14,046,033",0.03%
ANDRITZ AG,ANDR AV,"2,454","201,037",0.00%
Anglo American Platinum Ltd,AMS SJ,"65,342","3,181,977",0.01%
Anheuser-Busch InBev SA/NV,ABI BB,"37,874","3,056,268",0.01%
Anritsu Corp,6754 JP,"2,181","31,608",0.00%
Ansell Ltd,ANN AU,"476,507","16,115,471",0.04%
ANSYS Inc,ANSS US,"29,341","15,985,786",0.04%
ANZ Group Holdings Ltd,ANZ AU,"6,901,147","196,958,728",0.46%
Aon PLC,AON US,"35,041","20,326,856",0.05%
AP Moller - Maersk A/S,MAERSKB DC,221,"590,101",0.00%
AP Moller - Maersk A/S,MAERSKA DC,137,"354,639",0.00%
APA Corp,APA US,"33,786","1,259,967",0.00%
Apple Inc,AAPL US,"706,544","285,767,163",0.67%
Applied Materials Inc,AMAT US,"171,783","45,121,697",0.11%
AppLovin Corp,APP US,"49,975","26,137,963",0.06%
Aptiv PLC,APTV US,"41,432","4,047,187",0.01%
Arab National Bank,ARNB AB,"53,628","485,931",0.00%
Arafura Rare Earths Ltd,ARU AU,"468,743","53,905",0.00%
Aramark,ARMK US,"61,500","3,705,969",0.01%
ARB Corp Ltd,ARB AU,"102,212","4,150,809",0.01%
ARC Resources Ltd,ARX CN,"39,781","1,164,663",0.00%
Arca Continental SAB de CV,AC* MM,"129,296","1,734,888",0.00%
Arcadium Lithium PLC,LTM AU,"54,798","449,340",0.00%
ArcelorMittal SA,MT NA,"308,556","11,574,899",0.03%
Arch Capital Group Ltd,ACGL US,"58,209","8,682,189",0.02%
Ares Management Corp,ARES US,"38,002","10,865,646",0.03%
Arhaus Inc,ARHS US,"261,449","3,969,340",0.01%
Arista Networks Inc,ANET US,"138,013","24,637,912",0.06%
Aristocrat Leisure Ltd,ALL AU,"2,534,086","173,230,151",0.41%
Armstrong World Industries Inc,AWI US,"5,286","1,206,677",0.00%
ASE Technology Holding Co Ltd,3711 TT,"270,971","2,162,587",0.01%
Aselsan Elektronik Sanayi Ve Ticaret AS,ASELS TI,"57,501","190,415",0.00%
Ashtead Group PLC,AHT LN,"89,919","9,030,592",0.02%
Asia Vital Components Co Ltd,3017 TT,"15,396","472,540",0.00%
Asics Corp,7936 JP,"77,648","2,481,715",0.01%
ASML Holding NV,ASML NA,"80,113","90,936,340",0.21%
ASPEED Technology Inc,5274 TT,"51,320","8,406,535",0.02%
Aspen Pharmacare Holdings Ltd,APN SJ,"43,128","608,528",0.00%
ASR Nederland NV,ASRNL NA,"8,636","661,197",0.00%
Assa Abloy AB,ASSAB SS,"21,933","1,047,723",0.00%
Associated British Foods PLC,ABF LN,"19,067","787,938",0.00%
Assurant Inc,AIZ US,"13,040","4,490,609",0.01%
Assured Guaranty Ltd,AGO US,"4,587","666,889",0.00%
AstraZeneca PLC,AZN LN,"99,862","21,145,110",0.05%
Asustek Computer Inc,2357 TT,"76,258","2,314,202",0.01%
ASX Ltd,ASX AU,"180,866","11,770,785",0.03%
AT&T Inc,T US,"400,228","14,718,891",0.03%
Atco Ltd/Canada,ACO/X CN,897,"47,951",0.00%
ATI Inc,ATI US,"21,345","1,897,452",0.00%
Atlas Copco AB,ATCOBS M0,"39,739","868,119",0.00%
Atlas Copco AB,ATCOA SS,"69,625","1,718,453",0.00%
Atlas Copco AB,ATCOB SS,"84,989","1,856,640",0.00%
Atlassian Corp,TEAM US,"78,909","31,018,098",0.07%
Atmos Energy Corp,ATO US,"31,579","7,103,327",0.02%
AU Small Finance Bank Ltd,AUBANK IN,"929,477","9,803,673",0.02%
AUB Group Ltd,AUB AU,"370,928","11,572,950",0.03%
Auckland International Airport Ltd,AIA NZ,"19,264","151,651",0.00%
Auckland International Airport Ltd,AIA AU,"1,250,069","9,700,536",0.02%
Audinate Group Ltd,AD8 AU,"13,277","98,383",0.00%
Aurizon Holdings Ltd,AZJ AU,"5,941,325","19,309,305",0.05%
Aurora Solar Technologies Inc,ACU CN,"12,352,779","312,128",0.00%
Aussie Broadband Ltd,ABB AU,"4,410,121","15,788,232",0.04%
Austal Ltd,ASB AU,"47,954","148,657",0.00%
Austin Engineering Ltd,ANG AU,"4,416,658","2,252,496",0.01%
Australian Clinical Labs Ltd,ACL AU,"19,553","67,264",0.00%
Australian Ethical Investment Ltd,AEF AU,"29,259","157,415",0.00%
Australian Finance Group Ltd,AFG AU,"56,861","85,860",0.00%
Auto Trader Group PLC,AUTO LN,"58,841","943,852",0.00%
Autodesk Inc,ADSK US,"88,349","42,175,918",0.10%
Autohome Inc,ATHM US,"6,163","258,311",0.00%
Autoliv Inc,ALIV SS,"5,774","866,064",0.00%
Automatic Data Processing Inc,ADP US,"69,035","32,639,162",0.08%
AutoZone Inc,AZO US,402,"2,078,028",0.00%
Avery Dennison Corp,AVY US,"4,808","1,453,274",0.00%
Avista Corp,AVA US,942,"55,716",0.00%
Aviva PLC,AV/ LN,"3,076","29,172",0.00%
Avnet Inc,AVT US,"133,530","11,283,702",0.03%
AXA SA,CS FP,"27,911","1,602,026",0.00%
Axis Bank Ltd,AXSB IN,"608,357","12,219,307",0.03%
Axis Capital Holdings Ltd,AXS US,"4,781","684,357",0.00%
Axon Enterprise Inc,AXON US,"3,240","3,110,203",0.01%
B3 SA - Brasil Bolsa Balcao,B3SA3 BZ,"418,388","1,128,822",0.00%
Bachem Holding AG,BANB SW,"5,245","541,201",0.00%
BAE Systems PLC,BA/ LN,"38,538","895,289",0.00%
Baidu Inc,BIDU US,"17,698","2,409,948",0.01%
Baidu Inc,9888 HK,"28,901","496,961",0.00%
Baillie Gifford Worldwide Positive Change Fund,BGWPCAA ID,"102,953","2,720,943",0.01%
Bajaj Auto Ltd,BJAUT IN,"1,048","173,907",0.00%
Baker Hughes Co,BKR US,"376,860","24,967,776",0.06%
Balchem Corp,BCPC US,"19,686","5,182,371",0.01%
Ball Corp,BALL US,"26,971","2,401,519",0.01%
Banco Bilbao Vizcaya Argentaria SA,BBVA SM,"229,771","3,632,225",0.01%
Banco BPM SpA,BAMI IM,"199,479","2,606,241",0.01%
Banco Bradesco SA,BBDC3 BZ,"783,848","2,180,421",0.01%
Banco Bradesco SA,BBDC4 BZ,"74,765","225,956",0.00%
Banco BTG Pactual SA,BPAC11 BZ,"607,944","4,323,140",0.01%
Banco de Chile,BCH US,"22,325","817,769",0.00%
Banco do Brasil SA,BBAS3 BZ,"1,049,684","6,632,875",0.02%
Banco Santander SA,SAN SM,"1,506,863","11,251,248",0.03%
Bancolombia SA,BCOLO CB,"28,074","386,981",0.00%
Bancolombia SA,PFBCOLO CB,"65,119","839,867",0.00%
Bangkok Dusit Medical Services PCL,BDMS/F TB,"1,695,140","1,967,366",0.00%
Bank AlBilad,ALBI AB,"10,362","173,927",0.00%
Bank Central Asia Tbk PT,BBCA IJ,"17,926,066","17,404,001",0.04%
Bank Leumi Le-Israel BM,LUMI IT,"52,517","1,009,145",0.00%
Bank Mandiri Persero Tbk PT,BMRI IJ,"19,210,384","10,988,136",0.03%
Bank of America Corp,BAC US,"571,112","40,540,063",0.10%
Bank of China Ltd,3988 HK,"6,728,051","5,553,637",0.01%
Bank of New York Mellon Corp/The,BK US,"88,872","11,028,054",0.03%
Bank of Ningbo Co Ltd,002142 C2,"60,353","324,648",0.00%
Bank of Nova Scotia/The,BNS CN,"40,845","3,540,643",0.01%
Bank of Queensland Ltd,BOQ AU,"985,406","6,602,217",0.02%
Bank of the Philippine Islands,BPI PM,"96,348","328,200",0.00%
Bank OZK,OZK US,"97,588","7,018,678",0.02%
Bank Polska Kasa Opieki SA,PEO PW,"11,331","610,969",0.00%
Bank Rakyat Indonesia Persero Tbk PT,BBRI IJ,"54,921","22,486",0.00%
Bapcor Ltd,BAP AU,"1,373,418","6,482,532",0.02%
Barclays PLC,BARC LN,"2,618,676","14,203,873",0.03%
Barratt Redrow PLC,BTRW LN,"253,554","2,257,193",0.01%
Barrick Gold Corp,ABX CN,"43,896","1,098,791",0.00%
Barrick Gold Corp,GOLD US,"659,552","16,511,441",0.04%
BASF SE,BAS GR,"245,467","17,431,222",0.04%
Baxter International Inc,BAX US,"405,681","19,106,280",0.05%
BayCurrent Inc,6532 JP,"269,419","14,729,987",0.03%
Bayerische Motoren Werke AG,BMW GR,794,"104,939",0.00%
BB Seguridade Participacoes SA,BBSE3 BZ,"107,323","1,015,143",0.00%
BDO Unibank Inc,BDO PM,"58,185","233,943",0.00%
Beach Energy Ltd,BPT AU,"2,276,236","3,175,350",0.01%
Bechtle AG,BC8 GR,"6,219","323,448",0.00%
Becton Dickinson & Co,BDX US,"40,723","14,921,836",0.04%
Bega Cheese Ltd,BGA AU,"660,072","3,808,613",0.01%
Beiersdorf AG,BEI GR,"139,614","28,953,777",0.07%
BeiGene Ltd,BGNE US,"41,582","12,405,160",0.03%
BeiGene Ltd,688235 C1,"46,981","1,673,892",0.00%
Beijing Oriental Yuhong Waterproof Technology Co Ltd,002271 C2,"1,708,524","4,907,062",0.01%
Beijing-Shanghai High Speed Railway Co Ltd,601816 C1,"175,374","239,041",0.00%
Bellevue Gold Ltd,BGL AU,"4,391,745","4,940,714",0.01%
BellRing Brands Inc,BRBR US,"88,871","10,814,097",0.03%
Bellway PLC,BWY LN,"11,778","593,707",0.00%
Bendigo & Adelaide Bank Ltd,BEN AU,"983,826","12,888,120",0.03%
Berkshire Hathaway Inc,BRK/B US,"48,972","35,852,184",0.08%
Best Buy Co Inc,BBY US,"4,416","611,888",0.00%
Betmakers Technology Group Ltd,BET AU,"4,737,259","497,412",0.00%
Bhagwan Marine Ltd,BWN AU,"2,533,933","1,596,378",0.00%
Bharat Electronics Ltd,BHE IN,"569,165","3,147,668",0.01%
Bharti Airtel Ltd,BHARTI IN,"555,751","16,646,516",0.04%
BHP Group Ltd,BHP AU,"16,339,964","646,245,567",1.52%
Bid Corp Ltd,BID SJ,"107,770","3,971,679",0.01%
Bilibili Inc,BILI US,"16,947","495,686",0.00%
Biogen Inc,BIIB US,"25,726","6,353,787",0.01%
BioMerieux,BIM FP,"3,818","660,939",0.00%
BioNTech SE,BNTX US,"82,483","15,180,423",0.04%
Bizlink Holding Inc,3665 TT,727,"21,922",0.00%
Black Hills Corp,BKH US,789,"74,564",0.00%
Blackrock Inc,BLK US,"2,742","4,539,980",0.01%
Blackstone Inc,BX US,"7,540","2,099,603",0.00%
Block Inc,SQ2 AU,"922,940","130,116,074",0.31%
Block Inc,SQ US,"13,679","1,877,675",0.00%
BlueScope Steel Ltd,BSL AU,"3,981,549","74,415,149",0.18%
BNP Paribas SA,BNP FP,"58,206","5,764,916",0.01%
BOC Hong Kong Holdings Ltd,2388 HK,"1,016,662","5,274,058",0.01%
BOE Technology Group Co Ltd,000725 C2,"140,799","136,770",0.00%
Booking Holdings Inc,BKNG US,"9,626","77,244,937",0.18%
BorgWarner Inc,BWA US,"5,139","263,858",0.00%
Bosch Ltd,BOS IN,37,"24,011",0.00%
Bosideng International Holdings Ltd,3998 HK,"18,662","15,056",0.00%
Boss Energy Ltd,BOE AU,"53,196","129,266",0.00%
Boston Scientific Corp,BSX US,"294,999","42,557,302",0.10%
Botanix Pharmaceuticals Ltd,BOT AU,"12,516,363","5,444,618",0.01%
BP PLC,BP/ LN,"372,483","2,961,056",0.01%
Brady Corp,BRC US,233,"27,810",0.00%
BrainChip Holdings Ltd,BRN AU,"297,125","115,879",0.00%
Brambles Ltd,BXB AU,"5,902,806","113,569,980",0.27%
Bravura Solutions Ltd,BVS AU,"704,960","1,586,159",0.00%
Breville Group Ltd,BRG AU,"446,651","15,802,524",0.04%
Brickworks Ltd,BKW AU,"13,610","349,106",0.00%
Bridgestone Corp,5108 JP,"9,931","544,977",0.00%
Bristol-Myers Squibb Co,BMY US,"280,399","25,614,748",0.06%
Britannia Industries Ltd,BRIT IN,"6,815","612,342",0.00%
Broadcom Inc,AVGO US,"291,240","109,054,334",0.26%
Broadridge Financial Solutions Inc,BR US,"4,270","1,559,298",0.00%
Brookdale Senior Living Inc,BKD US,"396,311","3,219,650",0.01%
Brookfield Asset Management Ltd,BAM CN,"28,895","2,529,755",0.01%
Brookfield Infrastructure Corp,BIPC CN,"1,516","98,200",0.00%
Brother Industries Ltd,6448 JP,"183,457","5,085,773",0.01%
Brown & Brown Inc,BRO US,"33,786","5,567,119",0.01%
Builders FirstSource Inc,BLDR US,"5,589","1,290,178",0.00%
Bumrungrad Hospital PCL,BH/F TB,"86,450","816,999",0.00%
Bunge Global SA,BG US,"2,193","275,447",0.00%
Bunzl PLC,BNZL LN,"1,028","68,517",0.00%
Bupa Arabia for Cooperative Insurance Co,BUPA AB,"22,393","1,992,501",0.00%
Bureau Veritas SA,BVI FP,"48,563","2,382,972",0.01%
Burgundy Diamond Mines Ltd,BDM AU,"9,231,605","821,613",0.00%
BYD Co Ltd,1211 HK,"31,341","1,737,263",0.00%
C4 Therapeutics Inc,CCCC US,"142,540","828,789",0.00%
Cadence Design Systems Inc,CDNS US,"31,318","15,198,151",0.04%
Caixa Seguridade Participacoes S/A,CXSE3 BZ,"70,284","261,841",0.00%
CaixaBank SA,CABK SM,"134,387","1,176,821",0.00%
California Water Service Group,CWT US,707,"51,785",0.00%
Canadian Imperial Bank of Commerce,CM CN,"66,234","6,763,542",0.02%
Canadian National Railway Co,CNR CN,"13,983","2,292,137",0.01%
Canadian Natural Resources Ltd,CNQ CN,"53,020","2,642,487",0.01%
Canadian Pacific Kansas City Ltd,CP CN,"11,046","1,291,039",0.00%
Canadian Pacific Kansas City Ltd,CP US,"5,731","669,823",0.00%
Canadian Tire Corp Ltd,CTC/A CN,"8,112","1,377,515",0.00%
Canadian Utilities Ltd,CU CN,"27,381","1,071,599",0.00%
Capcom Co Ltd,9697 JP,"16,146","576,446",0.00%
Capgemini SE,CAP FP,"42,809","11,323,006",0.03%
Capital One Financial Corp,COF US,"156,927","45,196,322",0.11%
Capitec Bank Holdings Ltd,CPI SJ,"9,355","2,509,583",0.01%
Capricorn Metals Ltd,CMM AU,"199,775","1,254,588",0.00%
Capstone Copper Corp,CSC AU,"770,011","7,553,810",0.02%
CAR Group Ltd,CAR AU,"1,208,432","43,539,802",0.10%
Cardinal Health Inc,CAH US,"31,982","6,109,139",0.01%
Carlisle Cos Inc,CSL US,"2,292","1,365,600",0.00%
Catapult Group International Ltd,CAT AU,"324,491","1,203,863",0.00%
Caterpillar Inc,CAT US,"21,633","12,674,496",0.03%
Cathay Financial Holding Co Ltd,2882 TT,"7,877","26,504",0.00%
Cboe Global Markets Inc,CBOE US,"19,019","6,002,400",0.01%
CD Projekt SA,CDR PW,67,"5,008",0.00%
CDW Corp/DE,CDW US,"50,962","14,325,065",0.03%
Celanese Corp,CE US,"7,775","869,120",0.00%
